Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2250440152,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Tee Higgins (15512841),DJ Moore (15512789),Laviska Shenault Jr. (15512851),Tyler Eifert (15513135),Chris Carson (15512515),Ravens (15513305),,1. Column A lists all of your contest entries for this draftgroup
2259676322,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Ezekiel Elliott (15512495),Alvin Kamara (15512493),DJ Chark Jr. (15512775),A.J. Green (15512793),Laviska Shenault Jr. (15512851),Jordan Akins (15513143),Mike Davis (15512527),Buccaneers (15513311),,2. Your current lineup is listed next to each entry (blank for reservations)
2259681202,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Justin Jefferson (15512803),DeVante Parker (15512785),Adam Thielen (15512759),Jordan Akins (15513143),Mike Davis (15512527),WAS Football Team (15513329),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2259681203,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Keelan Cole (15512845),DK Metcalf (15512747),Laviska Shenault Jr. (15512851),Drew Sample (15513137),Kenyan Drake (15512519),Bears (15513317),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2259681204,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Brandin Cooks (15512837),DJ Moore (15512789),Adam Thielen (15512759),Irv Smith Jr. (15513213),Chris Carson (15512515),Bears (15513317),,5. For faster processing only include entries you are changing in the file you upload
2259681205,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Derek Carr (15512450),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Cole Beasley (15512831),DJ Moore (15512789),Hunter Renfrow (15512833),Darren Waller (15513101),Chris Carson (15512515),Texans (15513326),,
2259681206,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Tyler Boyd (15512773),Keelan Cole (15512845),DeVante Parker (15512785),Tyler Eifert (15513135),Mike Davis (15512527),Vikings (15513322),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2259681257,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Randall Cobb (15512823),Justin Jefferson (15512803),DK Metcalf (15512747),Darren Fells (15513147),David Montgomery (15512535),WAS Football Team (15513329),,QB,Matthew Stafford (15512439),Matthew Stafford,15512439,QB,5900,NO@DET 10/04/2020 01:00PM ET,DET,17.61
2259681258,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Kenyan Drake (15512519),Alvin Kamara (15512493),Will Fuller V (15512779),DK Metcalf (15512747),Adam Thielen (15512759),Irv Smith Jr. (15513213),David Montgomery (15512535),Jaguars (15513318),,QB,Gardner Minshew II (15512438),Gardner Minshew II,15512438,QB,5900,JAX@CIN 10/04/2020 01:00PM ET,JAX,20.16
2259681259,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Dalvin Cook (15512497),Alvin Kamara (15512493),Odell Beckham Jr. (15512783),Keelan Cole (15512845),A.J. Green (15512793),Tyler Eifert (15513135),Chris Carson (15512515),Chargers (15513319),,WR,Will Fuller V (15512779),Will Fuller V,15512779,WR/FLEX,5900,MIN@HOU 10/04/2020 01:00PM ET,HOU,12.53
2259681260,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Mike Davis (15512527),Ezekiel Elliott (15512495),DJ Chark Jr. (15512775),Keelan Cole (15512845),Tyler Lockett (15512743),Drew Sample (15513137),David Johnson (15512531),Ravens (15513305),,RB,Devin Singletary (15512521),Devin Singletary,15512521,RB/FLEX,5900,BUF@LV 10/04/2020 04:25PM ET,BUF,12
2259681261,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Joe Burrow (15512435),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Tyler Boyd (15512773),Keelan Cole (15512845),Tee Higgins (15512841),T.J. Hockenson (15513107),Kenyan Drake (15512519),Dolphins (15513330),,QB,Drew Brees (15512440),Drew Brees,15512440,QB,5800,NO@DET 10/04/2020 01:00PM ET,NO,18.8
2259681262,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442),Alvin Kamara (15512493),Joe Mixon (15512525),Odell Beckham Jr. (15512783),CeeDee Lamb (15512799),DJ Moore (15512789),Austin Hooper (15513119),Devin Singletary (15512521),Bills (15513308),,WR,Terry McLaurin (15512781),Terry McLaurin,15512781,WR/FLEX,5800,BAL@WAS 10/04/2020 01:00PM ET,WAS,17.4
2259681263,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Mike Davis (15512527),Ezekiel Elliott (15512495),Brandin Cooks (15512837),DK Metcalf (15512747),Preston Williams (15512839),Greg Olsen (15513117),Joe Mixon (15512525),Raiders (15513323),,QB,Justin Herbert (15512441),Justin Herbert,15512441,QB,5800,LAC@TB 10/04/2020 01:00PM ET,LAC,22.97
2259681264,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Dak Prescott (15512429),Chris Carson (15512515),Alvin Kamara (15512493),Michael Gallup (15512771),Jarvis Landry (15512809),Hunter Renfrow (15512833),Dalton Schultz (15513113),Mike Davis (15512527),Texans (15513326),,RB,Joe Mixon (15512525),Joe Mixon,15512525,RB/FLEX,5800,JAX@CIN 10/04/2020 01:00PM ET,CIN,9.4
2259681265,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Mike Davis (15512527),Alvin Kamara (15512493),DK Metcalf (15512747),Laviska Shenault Jr. (15512851),Adam Thielen (15512759),Tyler Eifert (15513135),Joe Mixon (15512525),Cowboys (15513314),,QB,Baker Mayfield (15512442),Baker Mayfield,15512442,QB,5800,CLE@DAL 10/04/2020 01:00PM ET,CLE,13.82
2259681266,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Derek Carr (15512450),Kenyan Drake (15512519),Alvin Kamara (15512493),John Brown (15512805),DK Metcalf (15512747),Hunter Renfrow (15512833),Darren Waller (15513101),David Johnson (15512531),Cowboys (15513314),,WR,Odell Beckham Jr. (15512783),Odell Beckham Jr.,15512783,WR/FLEX,5800,CLE@DAL 10/04/2020 01:00PM ET,CLE,10.83
2259681267,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Philip Rivers (15512447),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Brandin Cooks (15512837),T.Y. Hilton (15512801),Anthony Miller (15512819),Mo Alie-Cox (15513121),Kenyan Drake (15512519),Ravens (15513305),,RB,Darrell Henderson Jr. (15512523),Darrell Henderson Jr.,15512523,RB/FLEX,5800,NYG@LAR 10/04/2020 04:05PM ET,LAR,14.23
2259681268,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442),Mike Davis (15512527),Alvin Kamara (15512493),Michael Gallup (15512771),Kenny Golladay (15512777),Jarvis Landry (15512809),Austin Hooper (15513119),Joe Mixon (15512525),Colts (15513313),,QB,Nick Foles (15512444),Nick Foles,15512444,QB,5700,IND@CHI 10/04/2020 04:25PM ET,CHI,18.22
2259681269,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442),David Johnson (15512531),Alvin Kamara (15512493),Odell Beckham Jr. (15512783),Michael Gallup (15512771),Jarvis Landry (15512809),T.J. Hockenson (15513107),Ronald Jones II (15512555),Ravens (15513305),,RB,Mike Davis (15512527),Mike Davis,15512527,RB/FLEX,5700,ARI@CAR 10/04/2020 01:00PM ET,CAR,12.87
2259681270,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Dak Prescott (15512429),Mike Davis (15512527),Alvin Kamara (15512493),Odell Beckham Jr. (15512783),Michael Gallup (15512771),CeeDee Lamb (15512799),Jordan Akins (15513143),Ronald Jones II (15512555),Bills (15513308),,RB,Mark Ingram II (15512529),Mark Ingram II,15512529,RB/FLEX,5700,BAL@WAS 10/04/2020 01:00PM ET,BAL,7.2
2259681271,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Josh Allen (15512428),Chris Carson (15512515),Alvin Kamara (15512493),Nelson Agholor (15512895),John Brown (15512805),Stefon Diggs (15512749),T.J. Hockenson (15513107),Mike Davis (15512527),Texans (15513326),,QB,Tyrod Taylor (15512443),Tyrod Taylor,15512443,QB,5700,LAC@TB 10/04/2020 01:00PM ET,LAC,9.02
2259681272,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Philip Rivers (15512447),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Tyler Boyd (15512773),T.Y. Hilton (15512801),Zach Pascal (15512855),Jimmy Graham (15513125),Mike Davis (15512527),Buccaneers (15513311),,WR,DeVante Parker (15512785),DeVante Parker,15512785,WR/FLEX,5700,SEA@MIA 10/04/2020 01:00PM ET,MIA,12.3
2259681273,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Chris Carson (15512515),Alvin Kamara (15512493),Randall Cobb (15512823),DeAndre Hopkins (15512739),Justin Jefferson (15512803),Irv Smith Jr. (15513213),Mike Davis (15512527),Buccaneers (15513311),,TE,Tyler Higbee (15513097),Tyler Higbee,15513097,TE/FLEX,5700,NYG@LAR 10/04/2020 04:05PM ET,LAR,14.47
2259681274,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442),Chris Carson (15512515),Alvin Kamara (15512493),Odell Beckham Jr. (15512783),Amari Cooper (15512755),KhaDarel Hodge (15512919),T.J. Hockenson (15513107),Joe Mixon (15512525),Cardinals (15513309),,WR,Julian Edelman (15512787),Julian Edelman,15512787,WR/FLEX,5700,Postponed,NE,15.37
2259681275,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Justin Herbert (15512441),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Keenan Allen (15512761),Brandin Cooks (15512837),Tyler Johnson (15512921),Hunter Henry (15513109),Chris Carson (15512515),Colts (15513313),,QB,Teddy Bridgewater (15512446),Teddy Bridgewater,15512446,QB,5600,ARI@CAR 10/04/2020 01:00PM ET,CAR,16.21
2259681276,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Alvin Kamara (15512493),Joe Mixon (15512525),Tyler Lockett (15512743),David Moore (15512903),DeVante Parker (15512785),Logan Thomas (15513131),David Montgomery (15512535),Cowboys (15513314),,WR,DJ Moore (15512789),DJ Moore,15512789,WR/FLEX,5600,ARI@CAR 10/04/2020 01:00PM ET,CAR,13.63
2259681277,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Mike Davis (15512527),Ezekiel Elliott (15512495),Brandin Cooks (15512837),Tyler Lockett (15512743),Adam Thielen (15512759),Kyle Rudolph (15513141),Devin Singletary (15512521),Buccaneers (15513311),,WR,Diontae Johnson (15512791),Diontae Johnson,15512791,WR/FLEX,5600,Postponed,PIT,11.6
2259681278,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432),Chris Carson (15512515),Alvin Kamara (15512493),Brandin Cooks (15512837),Will Fuller V (15512779),Kenny Golladay (15512777),Irv Smith Jr. (15513213),Kenyan Drake (15512519),Rams (15513306),,RB,Leonard Fournette (15512533),Leonard Fournette,15512533,RB/FLEX,5600,LAC@TB 10/04/2020 01:00PM ET,TB,12.57
2259681279,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Dak Prescott (15512429),Kenyan Drake (15512519),Alvin Kamara (15512493),Brandin Cooks (15512837),Amari Cooper (15512755),Jarvis Landry (15512809),Dalton Schultz (15513113),Ronald Jones II (15512555),Buccaneers (15513311),,QB,Kirk Cousins (15512445),Kirk Cousins,15512445,QB,5600,MIN@HOU 10/04/2020 01:00PM ET,MIN,15.24
2259681280,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432),Mike Davis (15512527),Ezekiel Elliott (15512495),Brandin Cooks (15512837),DK Metcalf (15512747),Adam Thielen (15512759),Jordan Akins (15513143),David Montgomery (15512535),Bears (15513317),,RB,David Johnson (15512531),David Johnson,15512531,RB/FLEX,5600,MIN@HOU 10/04/2020 01:00PM ET,HOU,13.17
2259681281,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Josh Allen (15512428),Mike Davis (15512527),Ezekiel Elliott (15512495),Cole Beasley (15512831),Brandin Cooks (15512837),Stefon Diggs (15512749),Darren Waller (15513101),David Montgomery (15512535),Texans (15513326),,QB,Philip Rivers (15512447),Philip Rivers,15512447,QB,5500,IND@CHI 10/04/2020 04:25PM ET,IND,14.79
2259681282,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Kenyan Drake (15512519),Ezekiel Elliott (15512495),Tyler Lockett (15512743),DeVante Parker (15512785),Laviska Shenault Jr. (15512851),Greg Olsen (15513117),Ronald Jones II (15512555),Texans (15513326),,RB,David Montgomery (15512535),David Montgomery,15512535,RB/FLEX,5500,IND@CHI 10/04/2020 04:25PM ET,CHI,12.5
2259681283,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432),Mike Davis (15512527),Alvin Kamara (15512493),Will Fuller V (15512779),Justin Jefferson (15512803),Allen Robinson II (15512753),Jordan Akins (15513143),Devin Singletary (15512521),Giants (15513325),,WR,A.J. Brown (15512795),A.J. Brown,15512795,WR/FLEX,5500,Postponed,TEN,8.9
2259681284,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Dalvin Cook (15512497),Ezekiel Elliott (15512495),DJ Chark Jr. (15512775),Tee Higgins (15512841),Laviska Shenault Jr. (15512851),Darren Waller (15513101),Kenyan Drake (15512519),Giants (15513325),,WR,A.J. Green (15512793),A.J. Green,15512793,WR/FLEX,5500,JAX@CIN 10/04/2020 01:00PM ET,CIN,8.2
2259681285,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Dak Prescott (15512429),Mike Davis (15512527),Alvin Kamara (15512493),Odell Beckham Jr. (15512783),Amari Cooper (15512755),Laviska Shenault Jr. (15512851),Dalton Schultz (15513113),Myles Gaskin (15512543),Chargers (15513319),,TE,Jared Cook (15513099),Jared Cook,15513099,TE/FLEX,5400,NO@DET 10/04/2020 01:00PM ET,NO,8.8
2259681286,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Mike Davis (15512527),Ezekiel Elliott (15512495),Tyler Lockett (15512743),David Moore (15512903),Preston Williams (15512839),Hunter Henry (15513109),David Johnson (15512531),Saints (15513310),,WR,Robby Anderson (15512797),Robby Anderson,15512797,WR/FLEX,5400,ARI@CAR 10/04/2020 01:00PM ET,CAR,20.27
2259681287,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Dak Prescott (15512429),Chris Carson (15512515),Alvin Kamara (15512493),Amari Cooper (15512755),Michael Gallup (15512771),KhaDarel Hodge (15512919),Jordan Akins (15513143),Kenyan Drake (15512519),Bears (15513317),,QB,Ryan Fitzpatrick (15512448),Ryan Fitzpatrick,15512448,QB,5400,SEA@MIA 10/04/2020 01:00PM ET,MIA,20.32
2259681288,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Chris Carson (15512515),Ezekiel Elliott (15512495),Will Fuller V (15512779),Justin Jefferson (15512803),Adam Thielen (15512759),Hunter Henry (15513109),Joe Mixon (15512525),Lions (15513328),,QB,Tua Tagovailoa (15512449),Tua Tagovailoa,15512449,QB,5400,SEA@MIA 10/04/2020 01:00PM ET,MIA,0
2259681289,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Matthew Stafford (15512439),Kenyan Drake (15512519),Ezekiel Elliott (15512495),Kenny Golladay (15512777),Deonte Harris (15512909),DK Metcalf (15512747),T.J. Hockenson (15513107),Devin Singletary (15512521),Buccaneers (15513311),,WR,CeeDee Lamb (15512799),CeeDee Lamb,15512799,WR/FLEX,5400,CLE@DAL 10/04/2020 01:00PM ET,DAL,14.33
2259681290,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Kenyan Drake (15512519),Ezekiel Elliott (15512495),Tyler Boyd (15512773),Stefon Diggs (15512749),Laviska Shenault Jr. (15512851),Tyler Eifert (15513135),David Johnson (15512531),Rams (15513306),,QB,Mitchell Trubisky (15512451),Mitchell Trubisky,15512451,QB,5300,IND@CHI 10/04/2020 04:25PM ET,CHI,17.37
2259681291,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Chris Carson (15512515),Ezekiel Elliott (15512495),DJ Chark Jr. (15512775),Kenny Golladay (15512777),A.J. Green (15512793),Tyler Eifert (15513135),David Johnson (15512531),Colts (15513313),,WR,T.Y. Hilton (15512801),T.Y. Hilton,15512801,WR/FLEX,5300,IND@CHI 10/04/2020 04:25PM ET,IND,7.77
2259681292,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Mike Davis (15512527),Ezekiel Elliott (15512495),Isaiah Ford (15512891),DK Metcalf (15512747),David Moore (15512903),Darren Waller (15513101),Jonathan Taylor (15512509),Jaguars (15513318),,RB,Carlos Hyde (15512537),Carlos Hyde,15512537,RB/FLEX,5300,SEA@MIA 10/04/2020 01:00PM ET,SEA,5.77
2259681293,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Derek Carr (15512450),Chris Carson (15512515),Ezekiel Elliott (15512495),Nelson Agholor (15512895),John Brown (15512805),DeAndre Hopkins (15512739),Darren Waller (15513101),Mike Davis (15512527),Giants (15513325),,QB,Derek Carr (15512450),Derek Carr,15512450,QB,5300,BUF@LV 10/04/2020 04:25PM ET,LV,17.89
2259681294,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Matthew Stafford (15512439),Mike Davis (15512527),Ezekiel Elliott (15512495),Marvin Jones Jr. (15512817),Tyler Lockett (15512743),Emmanuel Sanders (15512821),T.J. Hockenson (15513107),David Montgomery (15512535),Buccaneers (15513311),,WR,Justin Jefferson (15512803),Justin Jefferson,15512803,WR/FLEX,5200,MIN@HOU 10/04/2020 01:00PM ET,MIN,15.17
2259681295,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Mike Davis (15512527),Ezekiel Elliott (15512495),Randall Cobb (15512823),DK Metcalf (15512747),Adam Thielen (15512759),Irv Smith Jr. (15513213),Joe Mixon (15512525),Ravens (15513305),,TE,Darren Waller (15513101),Darren Waller,15513101,TE/FLEX,5200,BUF@LV 10/04/2020 04:25PM ET,LV,14.97
2259681296,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Chris Carson (15512515),Ezekiel Elliott (15512495),Keelan Cole (15512845),A.J. Green (15512793),Laviska Shenault Jr. (15512851),Darren Waller (15513101),Jonathan Taylor (15512509),Cardinals (15513309),,RB,James White (15512539),James White,15512539,RB/FLEX,5200,Postponed,NE,8.2
2259681297,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Mike Davis (15512527),Ronald Jones II (15512555),Marvin Jones Jr. (15512817),Tyler Lockett (15512743),DK Metcalf (15512747),Mike Gesicki (15513103),David Montgomery (15512535),Texans (15513326),,RB,Joshua Kelley (15512541),Joshua Kelley,15512541,RB/FLEX,5100,LAC@TB 10/04/2020 01:00PM ET,LAC,10.5
2259681298,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Ezekiel Elliott (15512495),Devin Singletary (15512521),Tyler Lockett (15512743),DK Metcalf (15512747),DeVante Parker (15512785),Jordan Akins (15513143),Reece Fountain (15513077),Giants (15513325),,TE,Mike Gesicki (15513103),Mike Gesicki,15513103,TE/FLEX,5100,SEA@MIA 10/04/2020 01:00PM ET,MIA,14.83
2259681299,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432),Chris Carson (15512515),Ezekiel Elliott (15512495),Randall Cobb (15512823),Brandin Cooks (15512837),Adam Thielen (15512759),Darren Waller (15513101),Kenyan Drake (15512519),Lions (15513328),,WR,Jarvis Landry (15512809),Jarvis Landry,15512809,WR/FLEX,5100,CLE@DAL 10/04/2020 01:00PM ET,CLE,8.77
2259681300,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Mike Davis (15512527),Ezekiel Elliott (15512495),Isaiah Ford (15512891),Will Fuller V (15512779),Tyler Lockett (15512743),Greg Olsen (15513117),Devin Singletary (15512521),WAS Football Team (15513329),,QB,Daniel Jones (15512452),Daniel Jones,15512452,QB,5100,NYG@LAR 10/04/2020 04:05PM ET,NYG,13.05
2259681301,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432),Kenyan Drake (15512519),Ezekiel Elliott (15512495),Will Fuller V (15512779),DeVante Parker (15512785),Adam Thielen (15512759),Jordan Akins (15513143),Ronald Jones II (15512555),Buccaneers (15513311),,WR,Sterling Shepard (15512807),Sterling Shepard,15512807,WR/FLEX,5100,NYG@LAR 10/04/2020 04:05PM ET,NYG,8.1
2259681302,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432),Chris Carson (15512515),Ezekiel Elliott (15512495),Randall Cobb (15512823),Will Fuller V (15512779),Justin Jefferson (15512803),T.J. Hockenson (15513107),Mike Davis (15512527),Chargers (15513319),,WR,John Brown (15512805),John Brown,15512805,WR/FLEX,5100,BUF@LV 10/04/2020 04:25PM ET,BUF,12.4
2259681303,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Drew Brees (15512440),Chris Carson (15512515),Ezekiel Elliott (15512495),Kenny Golladay (15512777),Emmanuel Sanders (15512821),Tre'Quan Smith (15512815),Darren Waller (15513101),Kenyan Drake (15512519),Bears (15513317),,WR,Tre'Quan Smith (15512815),Tre'Quan Smith,15512815,WR/FLEX,5000,NO@DET 10/04/2020 01:00PM ET,NO,7.73
2259681304,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Matthew Stafford (15512439),Ezekiel Elliott (15512495),Joe Mixon (15512525),Kenny Golladay (15512777),Marvin Jones Jr. (15512817),Emmanuel Sanders (15512821),Darren Waller (15513101),David Johnson (15512531),Ravens (15513305),,QB,Dwayne Haskins Jr. (15512453),Dwayne Haskins Jr.,15512453,QB,5000,BAL@WAS 10/04/2020 01:00PM ET,WAS,12.9
2259681305,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Ryan Fitzpatrick (15512448),Mike Davis (15512527),Ezekiel Elliott (15512495),Kenny Golladay (15512777),Tyler Lockett (15512743),DeVante Parker (15512785),Mike Gesicki (15513103),Ronald Jones II (15512555),Giants (15513325),,WR,Corey Davis (15512811),Corey Davis,15512811,WR/FLEX,5000,Postponed,TEN,14.87
2259681306,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Josh Allen (15512428),Chris Carson (15512515),Ezekiel Elliott (15512495),Cole Beasley (15512831),Stefon Diggs (15512749),Hunter Renfrow (15512833),Jimmy Graham (15513125),Kenyan Drake (15512519),Giants (15513325),,RB,Myles Gaskin (15512543),Myles Gaskin,15512543,RB/FLEX,5000,SEA@MIA 10/04/2020 01:00PM ET,MIA,13.1
2259681307,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Derek Carr (15512450),Ezekiel Elliott (15512495),Joe Mixon (15512525),Stefon Diggs (15512749),DeVante Parker (15512785),Hunter Renfrow (15512833),Darren Waller (15513101),Ronald Jones II (15512555),Ravens (15513305),,WR,Darius Slayton (15512813),Darius Slayton,15512813,WR/FLEX,5000,NYG@LAR 10/04/2020 04:05PM ET,NYG,14.93
2259681308,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Mike Davis (15512527),Ezekiel Elliott (15512495),Will Fuller V (15512779),Kenny Golladay (15512777),Justin Jefferson (15512803),Kyle Rudolph (15513141),Jonathan Taylor (15512509),Rams (15513306),,RB,Latavius Murray (15512545),Latavius Murray,15512545,RB/FLEX,4900,NO@DET 10/04/2020 01:00PM ET,NO,5.87
2259681309,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Ezekiel Elliott (15512495),David Johnson (15512531),Isaiah Ford (15512891),Tyler Lockett (15512743),DK Metcalf (15512747),Logan Thomas (15513131),David Montgomery (15512535),Lions (15513328),,WR,Marvin Jones Jr. (15512817),Marvin Jones Jr.,15512817,WR/FLEX,4900,NO@DET 10/04/2020 01:00PM ET,DET,9.97
2259681310,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Drew Brees (15512440),Chris Carson (15512515),Ezekiel Elliott (15512495),DeAndre Hopkins (15512739),Marvin Jones Jr. (15512817),Tre'Quan Smith (15512815),Adam Trautman (15513295),Mike Davis (15512527),Buccaneers (15513311),,QB,Jacoby Brissett (15512455),Jacoby Brissett,15512455,QB,4900,IND@CHI 10/04/2020 04:25PM ET,IND,0.34
2259681311,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432),Ezekiel Elliott (15512495),Joe Mixon (15512525),Brandin Cooks (15512837),DJ Moore (15512789),Adam Thielen (15512759),Darren Fells (15513147),Devin Singletary (15512521),Ravens (15513305),,WR,Anthony Miller (15512819),Anthony Miller,15512819,WR/FLEX,4900,IND@CHI 10/04/2020 04:25PM ET,CHI,10.2
2259681312,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Ryan Fitzpatrick (15512448),Kenyan Drake (15512519),Ezekiel Elliott (15512495),Tyler Lockett (15512743),DeVante Parker (15512785),Preston Williams (15512839),Darren Waller (15513101),David Montgomery (15512535),Bengals (15513320),,QB,Brett Hundley (15512454),Brett Hundley,15512454,QB,4900,ARI@CAR 10/04/2020 01:00PM ET,ARI,0
