Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2305175804,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),Kenny Golladay (15642468) (LOCKED),Marvin Jones Jr. (15642538) (LOCKED),Calvin Ridley (15642456) (LOCKED),Harrison Bryant (15642888) (LOCKED),Jamaal Williams (15642378) (LOCKED),Broncos (15642949),,1. Column A lists all of your contest entries for this draftgroup
2305184641,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Todd Gurley II (15642270) (LOCKED),Alvin Kamara (15642244) (LOCKED),A.J. Brown (15642476) (LOCKED),Chase Claypool (15642488) (LOCKED),Terry McLaurin (15642486) (LOCKED),Jonnu Smith (15642760) (LOCKED),Jamaal Williams (15642378) (LOCKED),49ers (15642945),,2. Your current lineup is listed next to each entry (blank for reservations)
2305185132,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),A.J. Brown (15642476) (LOCKED),Corey Davis (15642516) (LOCKED),Mike Williams (15642520),Eric Ebron (15642774) (LOCKED),Jamaal Williams (15642378) (LOCKED),Chiefs (15642941),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2305185234,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Derrick Henry (15642248) (LOCKED),Jamaal Williams (15642378) (LOCKED),Kenny Golladay (15642468) (LOCKED),Julio Jones (15642460) (LOCKED),Terry McLaurin (15642486) (LOCKED),T.J. Hockenson (15642756) (LOCKED),Kenyan Drake (15642298),Jaguars (15642954),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2305185235,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Danny Amendola (15642578) (LOCKED),Kenny Golladay (15642468) (LOCKED),Mike Williams (15642520),Hayden Hurst (15642766) (LOCKED),Jamaal Williams (15642378) (LOCKED),Bills (15642940) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2305185236,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Tom Brady (15667777),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Chris Godwin (15667801),Terry McLaurin (15642486) (LOCKED),Henry Ruggs III (15667805),Rob Gronkowski (15667835),Jamaal Williams (15642378) (LOCKED),Cardinals (15642958),,
2305185237,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),Danny Amendola (15642578) (LOCKED),Diontae Johnson (15642546) (LOCKED),Julio Jones (15642460) (LOCKED),T.J. Hockenson (15642756) (LOCKED),Jamaal Williams (15642378) (LOCKED),Patriots (15642942),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2305185277,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matt Ryan (15642187) (LOCKED),James Conner (15642254) (LOCKED),Alvin Kamara (15642244) (LOCKED),Russell Gage (15642540) (LOCKED),Kenny Golladay (15642468) (LOCKED),Julio Jones (15642460) (LOCKED),Logan Thomas (15642780) (LOCKED),Jamaal Williams (15642378) (LOCKED),Broncos (15642949),,RB,Josh Jacobs (15667783),Josh Jacobs,15667783,RB/FLEX,6300,TB@LV 10/25/2020 04:05PM ET,LV,18.5
2305185278,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Gardner Minshew II (15642195),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),DJ Chark Jr. (15642494),Calvin Ridley (15642456) (LOCKED),Laviska Shenault Jr. (15642534),Hunter Henry (15642764),Jamaal Williams (15642378) (LOCKED),Broncos (15642949),,WR,Mike Evans (15667803),Mike Evans,15667803,WR/FLEX,6300,TB@LV 10/25/2020 04:05PM ET,TB,15.52
2305185279,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Baker Mayfield (15642197) (LOCKED),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Tyler Boyd (15642496) (LOCKED),Jarvis Landry (15642524) (LOCKED),Terry McLaurin (15642486) (LOCKED),Harrison Bryant (15642888) (LOCKED),Chris Carson (15642260),Chiefs (15642941),,WR,A.J. Brown (15642476) (LOCKED),A.J. Brown,15642476,WR/FLEX,6300,In Progress,TEN,17.63
2305185280,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),James Robinson (15642264),Jamaal Williams (15642378) (LOCKED),Julio Jones (15642460) (LOCKED),Marvin Jones Jr. (15642538) (LOCKED),DJ Moore (15642490) (LOCKED),T.J. Hockenson (15642756) (LOCKED),Chris Carson (15642260),Bills (15642940) (LOCKED),,RB,Ronald Jones II (15667785),Ronald Jones II,15667785,RB/FLEX,6200,TB@LV 10/25/2020 04:05PM ET,TB,16.6
2305185281,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Mike Davis (15642256) (LOCKED),Alvin Kamara (15642244) (LOCKED),Danny Amendola (15642578) (LOCKED),Terry McLaurin (15642486) (LOCKED),Calvin Ridley (15642456) (LOCKED),T.J. Hockenson (15642756) (LOCKED),Kenyan Drake (15642298),Bengals (15642952) (LOCKED),,RB,James Robinson (15642264),James Robinson,15642264,RB/FLEX,6200,JAX@LAC 10/25/2020 04:25PM ET,JAX,17.65
2305185282,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Russell Wilson (15642181),Mike Davis (15642256) (LOCKED),Derrick Henry (15642248) (LOCKED),Christian Kirk (15642514),Terry McLaurin (15642486) (LOCKED),DK Metcalf (15642458),Greg Olsen (15642778),Jamaal Williams (15642378) (LOCKED),Falcons (15642957) (LOCKED),,WR,Keenan Allen (15642478),Keenan Allen,15642478,WR/FLEX,6200,JAX@LAC 10/25/2020 04:25PM ET,LAC,16.72
2305185283,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matt Ryan (15642187) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),Russell Gage (15642540) (LOCKED),Marvin Jones Jr. (15642538) (LOCKED),DJ Moore (15642490) (LOCKED),Hayden Hurst (15642766) (LOCKED),Jamaal Williams (15642378) (LOCKED),Bills (15642940) (LOCKED),,QB,Ryan Tannehill (15642192) (LOCKED),Ryan Tannehill,15642192,QB,6200,In Progress,TEN,25.3
2305185284,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matt Ryan (15642187) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Jamaal Williams (15642378) (LOCKED),Danny Amendola (15642578) (LOCKED),Julio Jones (15642460) (LOCKED),Calvin Ridley (15642456) (LOCKED),Hunter Henry (15642764),Chris Carson (15642260),Browns (15642950) (LOCKED),,QB,Drew Brees (15642193) (LOCKED),Drew Brees,15642193,QB,6100,In Progress,NO,19.61
2305185285,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Mike Davis (15642256) (LOCKED),Alvin Kamara (15642244) (LOCKED),A.J. Brown (15642476) (LOCKED),Chase Claypool (15642488) (LOCKED),Corey Davis (15642516) (LOCKED),Harrison Bryant (15642888) (LOCKED),David Johnson (15642284) (LOCKED),Bills (15642940) (LOCKED),,WR,Odell Beckham Jr. (15642480) (LOCKED),Odell Beckham Jr.,15642480,WR/FLEX,6100,In Progress,CLE,14.47
2305185286,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Gardner Minshew II (15642195),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),Keenan Allen (15642478),Tyreek Hill (15642474),Laviska Shenault Jr. (15642534),James O'Shaughnessy (15642816),Jamaal Williams (15642378) (LOCKED),Bills (15642940) (LOCKED),,RB,Clyde Edwards-Helaire (15642268),Clyde Edwards-Helaire,15642268,RB/FLEX,6100,KC@DEN 10/25/2020 04:25PM ET,KC,16.87
2305185287,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Deshaun Watson (15642186) (LOCKED),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Brandin Cooks (15642500) (LOCKED),Terry McLaurin (15642486) (LOCKED),Marquez Valdes-Scantling (15642552) (LOCKED),Darren Fells (15642770) (LOCKED),Mike Davis (15642256) (LOCKED),Jets (15642961) (LOCKED),,TE,Darren Waller (15667833),Darren Waller,15667833,TE/FLEX,6100,TB@LV 10/25/2020 04:05PM ET,LV,15.5
2305185288,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Kyle Allen (15642200) (LOCKED),Mike Davis (15642256) (LOCKED),Alvin Kamara (15642244) (LOCKED),A.J. Brown (15642476) (LOCKED),Amari Cooper (15642464) (LOCKED),Terry McLaurin (15642486) (LOCKED),Logan Thomas (15642780) (LOCKED),Jamaal Williams (15642378) (LOCKED),Buccaneers (15667853),,RB,Austin Ekeler (15642266),Austin Ekeler,15642266,RB/FLEX,6100,JAX@LAC 10/25/2020 04:25PM ET,LAC,15.55
2305185289,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Derek Carr (15667778),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),Nelson Agholor (15667809),Scotty Miller (15667811),Calvin Ridley (15642456) (LOCKED),Darren Waller (15667833),Jamaal Williams (15642378) (LOCKED),Patriots (15642942),,WR,Robby Anderson (15642482) (LOCKED),Robby Anderson,15642482,WR/FLEX,6000,In Progress,CAR,18.82
2305185290,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Teddy Bridgewater (15642196) (LOCKED),Derrick Henry (15642248) (LOCKED),Jamaal Williams (15642378) (LOCKED),Robby Anderson (15642482) (LOCKED),Terry McLaurin (15642486) (LOCKED),DJ Moore (15642490) (LOCKED),Jared Cook (15642768) (LOCKED),Chris Carson (15642260),Chiefs (15642941),,RB,Todd Gurley II (15642270) (LOCKED),Todd Gurley II,15642270,RB/FLEX,6000,In Progress,ATL,15.33
2305185291,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Jamaal Williams (15642378) (LOCKED),Chase Claypool (15642488) (LOCKED),Corey Davis (15642516) (LOCKED),Calvin Ridley (15642456) (LOCKED),Jonnu Smith (15642760) (LOCKED),Chris Carson (15642260),Packers (15642947) (LOCKED),,QB,Andy Dalton (15642194) (LOCKED),Andy Dalton,15642194,QB,6000,In Progress,DAL,5.49
2305185292,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Mike Davis (15642256) (LOCKED),Alvin Kamara (15642244) (LOCKED),A.J. Brown (15642476) (LOCKED),James Washington (15642550) (LOCKED),Mike Williams (15642520),Jonnu Smith (15642760) (LOCKED),Chris Carson (15642260),Packers (15642947) (LOCKED),,WR,Jamison Crowder (15642484) (LOCKED),Jamison Crowder,15642484,WR/FLEX,5900,In Progress,NYJ,22.08
2305185293,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),James Conner (15642254) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Danny Amendola (15642578) (LOCKED),Russell Gage (15642540) (LOCKED),Kenny Golladay (15642468) (LOCKED),Travis Kelce (15642754),Jamaal Williams (15642378) (LOCKED),Chiefs (15642941),,RB,Nick Chubb (15642272) (LOCKED),Nick Chubb,15642272,RB/FLEX,5900,In Progress,CLE,16.8
2305185294,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Tom Brady (15667777),Ezekiel Elliott (15642246) (LOCKED),Jamaal Williams (15642378) (LOCKED),Nelson Agholor (15667809),Chris Godwin (15667801),Tyreek Hill (15642474),Rob Gronkowski (15667835),Chris Carson (15642260),Patriots (15642942),,QB,Gardner Minshew II (15642195),Gardner Minshew II,15642195,QB,5900,JAX@LAC 10/25/2020 04:25PM ET,JAX,21.56
2305185295,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Justin Herbert (15642190),Mike Davis (15642256) (LOCKED),Derrick Henry (15642248) (LOCKED),Keenan Allen (15642478),DJ Chark Jr. (15642494),Mike Williams (15642520),Travis Kelce (15642754),Jamaal Williams (15642378) (LOCKED),Browns (15642950) (LOCKED),,RB,Jerick McKinnon (15642276),Jerick McKinnon,15642276,RB/FLEX,5800,SF@NE 10/25/2020 04:25PM ET,SF,12.3
2305185296,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Justin Herbert (15642190),Todd Gurley II (15642270) (LOCKED),Alvin Kamara (15642244) (LOCKED),Keenan Allen (15642478),Laviska Shenault Jr. (15642534),Mike Williams (15642520),George Kittle (15642752),Jamaal Williams (15642378) (LOCKED),Buccaneers (15667853),,QB,Teddy Bridgewater (15642196) (LOCKED),Teddy Bridgewater,15642196,QB,5800,In Progress,CAR,18.52
2305185297,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),D'Andre Swift (15642282) (LOCKED),Jamaal Williams (15642378) (LOCKED),Kenny Golladay (15642468) (LOCKED),Diontae Johnson (15642546) (LOCKED),Calvin Ridley (15642456) (LOCKED),Travis Kelce (15642754),Kenyan Drake (15642298),Bills (15642940) (LOCKED),,RB,Devin Singletary (15642274) (LOCKED),Devin Singletary,15642274,RB/FLEX,5800,In Progress,BUF,10.75
2305185298,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matt Ryan (15642187) (LOCKED),Derrick Henry (15642248) (LOCKED),Kareem Hunt (15642252) (LOCKED),Danny Amendola (15642578) (LOCKED),DJ Moore (15642490) (LOCKED),Calvin Ridley (15642456) (LOCKED),Hayden Hurst (15642766) (LOCKED),Jamaal Williams (15642378) (LOCKED),Chiefs (15642941),,WR,Terry McLaurin (15642486) (LOCKED),Terry McLaurin,15642486,WR/FLEX,5800,In Progress,WAS,16.17
2305185299,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Derrick Henry (15642248) (LOCKED),Kareem Hunt (15642252) (LOCKED),Russell Gage (15642540) (LOCKED),Kenny Golladay (15642468) (LOCKED),Marvin Jones Jr. (15642538) (LOCKED),George Kittle (15642752),Jamaal Williams (15642378) (LOCKED),Saints (15642946) (LOCKED),,WR,Chase Claypool (15642488) (LOCKED),Chase Claypool,15642488,WR/FLEX,5700,In Progress,PIT,18.32
2305185300,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matt Ryan (15642187) (LOCKED),James Conner (15642254) (LOCKED),Jamaal Williams (15642378) (LOCKED),Julio Jones (15642460) (LOCKED),Marvin Jones Jr. (15642538) (LOCKED),Calvin Ridley (15642456) (LOCKED),Jared Cook (15642768) (LOCKED),Kenyan Drake (15642298),Bills (15642940) (LOCKED),,WR,DJ Moore (15642490) (LOCKED),DJ Moore,15642490,WR/FLEX,5600,In Progress,CAR,13.9
2305185301,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Tom Brady (15667777),Derrick Henry (15642248) (LOCKED),Jamaal Williams (15642378) (LOCKED),Mike Evans (15667803),Kenny Golladay (15642468) (LOCKED),Scotty Miller (15667811),Darren Waller (15667833),Chris Carson (15642260),Seahawks (15642953),,QB,Baker Mayfield (15642197) (LOCKED),Baker Mayfield,15642197,QB,5600,In Progress,CLE,13.58
2305185302,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Tom Brady (15667777),Kareem Hunt (15642252) (LOCKED),Jamaal Williams (15642378) (LOCKED),Mike Evans (15667803),Calvin Ridley (15642456) (LOCKED),Henry Ruggs III (15667805),Rob Gronkowski (15667835),Chris Carson (15642260),Packers (15642947) (LOCKED),,RB,Tony Pollard (15642278) (LOCKED),Tony Pollard,15642278,RB/FLEX,5600,In Progress,DAL,4.83
2305185303,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Deshaun Watson (15642186) (LOCKED),Todd Gurley II (15642270) (LOCKED),Alvin Kamara (15642244) (LOCKED),Brandin Cooks (15642500) (LOCKED),Will Fuller V (15642466) (LOCKED),Marquez Valdes-Scantling (15642552) (LOCKED),Harrison Bryant (15642888) (LOCKED),Chris Carson (15642260),Chiefs (15642941),,QB,Joe Burrow (15642198) (LOCKED),Joe Burrow,15642198,QB,5500,In Progress,CIN,19.23
2305185304,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Russell Wilson (15642181),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),Andy Isabella (15642562),Diontae Johnson (15642546) (LOCKED),DK Metcalf (15642458),Greg Olsen (15642778),Jamaal Williams (15642378) (LOCKED),Broncos (15642949),,RB,Melvin Gordon III (15642280),Melvin Gordon III,15642280,RB/FLEX,5500,KC@DEN 10/25/2020 04:25PM ET,DEN,17.4
2305185305,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Jimmy Garoppolo (15642199),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),Kendrick Bourne (15642576),Kenny Golladay (15642468) (LOCKED),N'Keal Harry (15642560),George Kittle (15642752),Jamaal Williams (15642378) (LOCKED),Chiefs (15642941),,WR,DJ Chark Jr. (15642494),DJ Chark Jr.,15642494,WR/FLEX,5500,JAX@LAC 10/25/2020 04:25PM ET,JAX,13.9
2305185306,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Baker Mayfield (15642197) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Derrick Henry (15642248) (LOCKED),Keenan Allen (15642478),Odell Beckham Jr. (15642480) (LOCKED),Tyler Boyd (15642496) (LOCKED),David Njoku (15642790) (LOCKED),Jamaal Williams (15642378) (LOCKED),Chiefs (15642941),,WR,JuJu Smith-Schuster (15642492) (LOCKED),JuJu Smith-Schuster,15642492,WR/FLEX,5500,In Progress,PIT,12.48
2305185307,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Giovani Bernard (15642308) (LOCKED),Jamaal Williams (15642378) (LOCKED),A.J. Brown (15642476) (LOCKED),Chase Claypool (15642488) (LOCKED),Chris Godwin (15667801),Travis Kelce (15642754),Derrick Henry (15642248) (LOCKED),Cowboys (15642948) (LOCKED),,RB,D'Andre Swift (15642282) (LOCKED),D'Andre Swift,15642282,RB/FLEX,5400,In Progress,DET,14.38
2305185308,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matt Ryan (15642187) (LOCKED),Mike Davis (15642256) (LOCKED),Derrick Henry (15642248) (LOCKED),Keenan Allen (15642478),Russell Gage (15642540) (LOCKED),Kenny Golladay (15642468) (LOCKED),Hayden Hurst (15642766) (LOCKED),Jamaal Williams (15642378) (LOCKED),Chargers (15642944),,WR,Tyler Boyd (15642496) (LOCKED),Tyler Boyd,15642496,WR/FLEX,5400,In Progress,CIN,15.08
2305185309,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ben Roethlisberger (15642188) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),A.J. Brown (15642476) (LOCKED),Chase Claypool (15642488) (LOCKED),JuJu Smith-Schuster (15642492) (LOCKED),Harrison Bryant (15642888) (LOCKED),Jamaal Williams (15642378) (LOCKED),Buccaneers (15667853),,QB,Derek Carr (15667778),Derek Carr,15667778,QB,5400,TB@LV 10/25/2020 04:05PM ET,LV,21.22
2305185310,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Patrick Mahomes (15642183),Derrick Henry (15642248) (LOCKED),Jamaal Williams (15642378) (LOCKED),Tyreek Hill (15642474),Terry McLaurin (15642486) (LOCKED),Tim Patrick (15642528),Travis Kelce (15642754),Kenyan Drake (15642298),Saints (15642946) (LOCKED),,QB,Jimmy Garoppolo (15642199),Jimmy Garoppolo,15642199,QB,5300,SF@NE 10/25/2020 04:25PM ET,SF,14.28
2305185311,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Russell Wilson (15642181),Todd Gurley II (15642270) (LOCKED),Derrick Henry (15642248) (LOCKED),Andy Isabella (15642562),Tyler Lockett (15642470),DK Metcalf (15642458),Harrison Bryant (15642888) (LOCKED),Jamaal Williams (15642378) (LOCKED),Chiefs (15642941),,WR,Tee Higgins (15642498) (LOCKED),Tee Higgins,15642498,WR/FLEX,5300,In Progress,CIN,12.07
2305185312,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Justin Herbert (15642190),Ezekiel Elliott (15642246) (LOCKED),Kareem Hunt (15642252) (LOCKED),Keenan Allen (15642478),Julio Jones (15642460) (LOCKED),Mike Williams (15642520),James O'Shaughnessy (15642816),Jamaal Williams (15642378) (LOCKED),Chiefs (15642941),,RB,David Johnson (15642284) (LOCKED),David Johnson,15642284,RB/FLEX,5300,In Progress,HOU,12.82
2305185313,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Tom Brady (15667777),Mike Davis (15642256) (LOCKED),Alvin Kamara (15642244) (LOCKED),Mike Evans (15667803),Chris Godwin (15667801),Henry Ruggs III (15667805),Harrison Bryant (15642888) (LOCKED),Chris Carson (15642260),Titans (15642955) (LOCKED),,RB,Phillip Lindsay (15642286),Phillip Lindsay,15642286,RB/FLEX,5300,KC@DEN 10/25/2020 04:25PM ET,DEN,8.8
2305185314,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Kareem Hunt (15642252) (LOCKED),Alvin Kamara (15642244) (LOCKED),Corey Davis (15642516) (LOCKED),Terry McLaurin (15642486) (LOCKED),James Washington (15642550) (LOCKED),Jonnu Smith (15642760) (LOCKED),David Johnson (15642284) (LOCKED),Chiefs (15642941),,WR,Brandin Cooks (15642500) (LOCKED),Brandin Cooks,15642500,WR/FLEX,5200,In Progress,HOU,13.12
2305185315,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Kyle Allen (15642200) (LOCKED),Derrick Henry (15642248) (LOCKED),Kareem Hunt (15642252) (LOCKED),Michael Gallup (15642530) (LOCKED),DeAndre Hopkins (15642450),Terry McLaurin (15642486) (LOCKED),Logan Thomas (15642780) (LOCKED),Jamaal Williams (15642378) (LOCKED),Chiefs (15642941),,QB,Kyle Allen (15642200) (LOCKED),Kyle Allen,15642200,QB,5200,In Progress,WAS,13.83
2305185316,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Deshaun Watson (15642186) (LOCKED),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Davante Adams (15642452) (LOCKED),Randall Cobb (15642544) (LOCKED),Brandin Cooks (15642500) (LOCKED),Harrison Bryant (15642888) (LOCKED),Justin Jackson (15642296),Cowboys (15642948) (LOCKED),,WR,Emmanuel Sanders (15642502) (LOCKED),Emmanuel Sanders,15642502,WR/FLEX,5100,In Progress,NO,14.28
2305185317,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Justin Herbert (15642190),Mike Davis (15642256) (LOCKED),Alvin Kamara (15642244) (LOCKED),Terry McLaurin (15642486) (LOCKED),Laviska Shenault Jr. (15642534),Mike Williams (15642520),Hunter Henry (15642764),David Johnson (15642284) (LOCKED),Chiefs (15642941),,WR,John Brown (15642504) (LOCKED),John Brown,15642504,WR/FLEX,5100,In Progress,BUF,9.08
2305185318,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Andy Dalton (15642194) (LOCKED),Kareem Hunt (15642252) (LOCKED),Jamaal Williams (15642378) (LOCKED),A.J. Brown (15642476) (LOCKED),Amari Cooper (15642464) (LOCKED),Terry McLaurin (15642486) (LOCKED),Dalton Schultz (15642776) (LOCKED),Chris Carson (15642260),Patriots (15642942),,QB,Drew Lock (15642201),Drew Lock,15642201,QB,5100,KC@DEN 10/25/2020 04:25PM ET,DEN,6.13
2305185319,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Baker Mayfield (15642197) (LOCKED),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Odell Beckham Jr. (15642480) (LOCKED),A.J. Green (15642542) (LOCKED),Terry McLaurin (15642486) (LOCKED),David Njoku (15642790) (LOCKED),Todd Gurley II (15642270) (LOCKED),Buccaneers (15667853),,WR,Jerry Jeudy (15642506),Jerry Jeudy,15642506,WR/FLEX,5100,KC@DEN 10/25/2020 04:25PM ET,DEN,9.92
2305185320,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Deshaun Watson (15642186) (LOCKED),Mike Davis (15642256) (LOCKED),Alvin Kamara (15642244) (LOCKED),Randall Cobb (15642544) (LOCKED),Will Fuller V (15642466) (LOCKED),Terry McLaurin (15642486) (LOCKED),Robert Tonyan (15642762) (LOCKED),Kenyan Drake (15642298),Falcons (15642957) (LOCKED),,RB,Joshua Kelley (15642288),Joshua Kelley,15642288,RB/FLEX,5100,JAX@LAC 10/25/2020 04:25PM ET,LAC,8.32
2305185321,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Kareem Hunt (15642252) (LOCKED),Alvin Kamara (15642244) (LOCKED),A.J. Brown (15642476) (LOCKED),Corey Davis (15642516) (LOCKED),Diontae Johnson (15642546) (LOCKED),Travis Kelce (15642754),Kenyan Drake (15642298),Jaguars (15642954),,QB,Jarrett Stidham (15642205),Jarrett Stidham,15642205,QB,5000,SF@NE 10/25/2020 04:25PM ET,NE,4.7
2305185322,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Tom Brady (15667777),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),Chris Godwin (15667801),Breshad Perriman (15642566) (LOCKED),Hunter Renfrow (15667807),Rob Gronkowski (15667835),Giovani Bernard (15642308) (LOCKED),Chiefs (15642941),,QB,C.J. Beathard (15642206),C.J. Beathard,15642206,QB,5000,SF@NE 10/25/2020 04:25PM ET,SF,6.14
