Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2289290533,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Daniel Jones (15607553) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Terry McLaurin (15607841) (LOCKED),Darnell Mooney (15608011) (LOCKED),Darius Slayton (15607849) (LOCKED),Evan Engram (15608123) (LOCKED),James Robinson (15607607) (LOCKED),Ravens (15608281) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
2289467283,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Justin Jefferson (15607835) (LOCKED),Darnell Mooney (15608011) (LOCKED),Calvin Ridley (15607805) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),James Robinson (15607607) (LOCKED),Broncos (15608286) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
2289467284,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Kenny Golladay (15607831) (LOCKED),Terry McLaurin (15607841) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Tyler Eifert (15608145) (LOCKED),Phillip Lindsay (15607651) (LOCKED),Ravens (15608281) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2289467285,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Justin Jefferson (15607835) (LOCKED),Adam Thielen (15607807) (LOCKED),Olamide Zaccheaus (15607949) (LOCKED),Trey Burton (15608155) (LOCKED),Aaron Jones (15607595),Jets (15608299),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2289467286,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),Justin Jefferson (15607835) (LOCKED),Terry McLaurin (15607841) (LOCKED),Adam Thielen (15607807) (LOCKED),Hayden Hurst (15608125) (LOCKED),Phillip Lindsay (15607651) (LOCKED),Bengals (15608302) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2289467287,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Julio Jones (15607815) (LOCKED),Jarvis Landry (15607865) (LOCKED),Adam Thielen (15607807) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),Ronald Jones II (15607621),Bengals (15608302) (LOCKED),,
2289467288,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),A.J. Brown (15607845) (LOCKED),Kalif Raymond (15607945) (LOCKED),Darius Slayton (15607849) (LOCKED),Darren Fells (15608137) (LOCKED),Aaron Jones (15607595),Ravens (15608281) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2289467327,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Keelan Cole (15607867) (LOCKED),Marvin Jones Jr. (15607857) (LOCKED),Adam Thielen (15607807) (LOCKED),Tyler Eifert (15608145) (LOCKED),Ronald Jones II (15607621),Eagles (15608298) (LOCKED),,WR,Jamison Crowder (15607833),Jamison Crowder,15607833,WR/FLEX,6100,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,25.5
2289467328,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Danny Amendola (15607903) (LOCKED),DJ Chark Jr. (15607827) (LOCKED),Jarvis Landry (15607865) (LOCKED),Tyler Eifert (15608145) (LOCKED),Aaron Jones (15607595),Dolphins (15608293),,QB,Kirk Cousins (15607543) (LOCKED),Kirk Cousins,15607543,QB,6100,In Progress,MIN,15.36
2289467329,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kyle Allen (15607561) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Dontrelle Inman (15607927) (LOCKED),Terry McLaurin (15607841) (LOCKED),Adam Thielen (15607807) (LOCKED),Evan Engram (15608123) (LOCKED),Joe Mixon (15607615) (LOCKED),Panthers (15608292) (LOCKED),,RB,Nick Chubb (15607617) (LOCKED),Nick Chubb,15607617,RB/FLEX,6100,In Progress,CLE,16.8
2289467330,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Baker Mayfield (15607549) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Jarvis Landry (15607865) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),James Washington (15607901) (LOCKED),Austin Hooper (15608135) (LOCKED),Alexander Mattison (15607599) (LOCKED),Ravens (15608281) (LOCKED),,WR,Justin Jefferson (15607835) (LOCKED),Justin Jefferson,15607835,WR/FLEX,6000,In Progress,MIN,13.62
2289467331,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Baker Mayfield (15607549) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),Odell Beckham Jr. (15607823) (LOCKED),Chase Claypool (15607853) (LOCKED),Jarvis Landry (15607865) (LOCKED),Trey Burton (15608155) (LOCKED),Aaron Jones (15607595),Colts (15608283) (LOCKED),,QB,Teddy Bridgewater (15607544) (LOCKED),Teddy Bridgewater,15607544,QB,6000,In Progress,CAR,19.94
2289467332,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),DJ Chark Jr. (15607827) (LOCKED),Kenny Golladay (15607831) (LOCKED),Darius Slayton (15607849) (LOCKED),Tyler Eifert (15608145) (LOCKED),Jonathan Taylor (15607611) (LOCKED),Titans (15608294) (LOCKED),,RB,Ronald Jones II (15607621),Ronald Jones II,15607621,RB/FLEX,6000,GB@TB 10/18/2020 04:25PM ET,TB,14.1
2289467333,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Daniel Jones (15607553) (LOCKED),Mike Davis (15607603) (LOCKED),Alexander Mattison (15607599) (LOCKED),Dontrelle Inman (15607927) (LOCKED),Jarvis Landry (15607865) (LOCKED),Darius Slayton (15607849) (LOCKED),Evan Engram (15608123) (LOCKED),Aaron Jones (15607595),Colts (15608283) (LOCKED),,RB,Melvin Gordon III (15607619) (LOCKED),Melvin Gordon III,15607619,RB/FLEX,6000,In Progress,DEN,17.4
2289467334,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Daniel Jones (15607553) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Golden Tate (15607885) (LOCKED),Adam Thielen (15607807) (LOCKED),Isaiah Wright (15608019) (LOCKED),Evan Engram (15608123) (LOCKED),Jonathan Taylor (15607611) (LOCKED),Patriots (15608282) (LOCKED),,QB,Ryan Fitzpatrick (15607545),Ryan Fitzpatrick,15607545,QB,5900,NYJ@MIA 10/18/2020 04:05PM ET,MIA,23.57
2289467335,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),David Montgomery (15607623) (LOCKED),James Robinson (15607607) (LOCKED),Justin Jefferson (15607835) (LOCKED),Julio Jones (15607815) (LOCKED),Adam Thielen (15607807) (LOCKED),Trey Burton (15608155) (LOCKED),Antonio Gibson (15607625) (LOCKED),Browns (15608296) (LOCKED),,QB,Philip Rivers (15607547) (LOCKED),Philip Rivers,15607547,QB,5900,In Progress,IND,12.64
2289467336,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),Mike Davis (15607603) (LOCKED),Kareem Hunt (15607605) (LOCKED),A.J. Brown (15607845) (LOCKED),Adam Humphries (15607909) (LOCKED),Adam Thielen (15607807) (LOCKED),Darren Fells (15608137) (LOCKED),Joe Mixon (15607615) (LOCKED),WAS Football Team (15608288) (LOCKED),,WR,DJ Moore (15607837) (LOCKED),DJ Moore,15607837,WR/FLEX,5900,In Progress,CAR,13.82
2289467337,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matthew Stafford (15607542) (LOCKED),Mike Davis (15607603) (LOCKED),Kareem Hunt (15607605) (LOCKED),Danny Amendola (15607903) (LOCKED),A.J. Brown (15607845) (LOCKED),Kenny Golladay (15607831) (LOCKED),Tyler Eifert (15608145) (LOCKED),Ronald Jones II (15607621),Ravens (15608281) (LOCKED),,QB,Ryan Tannehill (15607546) (LOCKED),Ryan Tannehill,15607546,QB,5900,In Progress,TEN,23.22
2289467338,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),Brandin Cooks (15607859) (LOCKED),Adam Humphries (15607909) (LOCKED),Adam Thielen (15607807) (LOCKED),Jonnu Smith (15608115) (LOCKED),Ronald Jones II (15607621),Jaguars (15608295) (LOCKED),,WR,Tyler Boyd (15607839) (LOCKED),Tyler Boyd,15607839,WR/FLEX,5800,In Progress,CIN,15.52
2289467339,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),Chase Claypool (15607853) (LOCKED),Justin Jefferson (15607835) (LOCKED),Calvin Ridley (15607805) (LOCKED),Kyle Rudolph (15608139) (LOCKED),Ronald Jones II (15607621),Bengals (15608302) (LOCKED),,QB,Nick Foles (15607548) (LOCKED),Nick Foles,15607548,QB,5800,In Progress,CHI,14.57
2289467340,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Tom Brady (15607540),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Scotty Miller (15607899),Malik Taylor (15607977),Adam Thielen (15607807) (LOCKED),Rob Gronkowski (15608127),Joe Mixon (15607615) (LOCKED),Patriots (15608282) (LOCKED),,RB,David Montgomery (15607623) (LOCKED),David Montgomery,15607623,RB/FLEX,5800,In Progress,CHI,13.42
2289467341,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),David Montgomery (15607623) (LOCKED),James Robinson (15607607) (LOCKED),A.J. Brown (15607845) (LOCKED),Randall Cobb (15607891) (LOCKED),Jarvis Landry (15607865) (LOCKED),Jonnu Smith (15608115) (LOCKED),Aaron Jones (15607595),Packers (15608284),,WR,Terry McLaurin (15607841) (LOCKED),Terry McLaurin,15607841,WR/FLEX,5700,In Progress,WAS,16.52
2289467342,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Philip Rivers (15607547) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Tyler Boyd (15607839) (LOCKED),Terry McLaurin (15607841) (LOCKED),Zach Pascal (15607877) (LOCKED),Trey Burton (15608155) (LOCKED),Aaron Jones (15607595),Dolphins (15608293),,QB,Baker Mayfield (15607549) (LOCKED),Baker Mayfield,15607549,QB,5700,In Progress,CLE,14.85
2289467343,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Philip Rivers (15607547) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),T.Y. Hilton (15607861) (LOCKED),Zach Pascal (15607877) (LOCKED),Darius Slayton (15607849) (LOCKED),Drew Sample (15608147) (LOCKED),Alexander Mattison (15607599) (LOCKED),Patriots (15608282) (LOCKED),,QB,Carson Wentz (15607550) (LOCKED),Carson Wentz,15607550,QB,5600,In Progress,PHI,19.14
2289467344,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matthew Stafford (15607542) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Keelan Cole (15607867) (LOCKED),Kenny Golladay (15607831) (LOCKED),John Hightower (15608101) (LOCKED),T.J. Hockenson (15608113) (LOCKED),Ronald Jones II (15607621),Colts (15608283) (LOCKED),,WR,A.J. Brown (15607845) (LOCKED),A.J. Brown,15607845,WR/FLEX,5600,In Progress,TEN,15.05
2289467345,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),James Conner (15607601) (LOCKED),Mike Davis (15607603) (LOCKED),A.J. Brown (15607845) (LOCKED),Brandin Cooks (15607859) (LOCKED),Kalif Raymond (15607945) (LOCKED),Mark Andrews (15608107) (LOCKED),Jonathan Taylor (15607611) (LOCKED),WAS Football Team (15608288) (LOCKED),,WR,Julian Edelman (15607843) (LOCKED),Julian Edelman,15607843,WR/FLEX,5600,In Progress,NE,13.15
2289467346,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Lamar Jackson (15607534) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Miles Boykin (15607919) (LOCKED),Marquise Brown (15607819) (LOCKED),Darnell Mooney (15608011) (LOCKED),Zach Ertz (15608121) (LOCKED),James Robinson (15607607) (LOCKED),Dolphins (15608293),,TE,Mike Gesicki (15608109),Mike Gesicki,15608109,TE/FLEX,5500,NYJ@MIA 10/18/2020 04:05PM ET,MIA,12.22
2289467347,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kyle Allen (15607561) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),Dontrelle Inman (15607927) (LOCKED),Terry McLaurin (15607841) (LOCKED),Darius Slayton (15607849) (LOCKED),Jonnu Smith (15608115) (LOCKED),James Conner (15607601) (LOCKED),Patriots (15608282) (LOCKED),,RB,Antonio Gibson (15607625) (LOCKED),Antonio Gibson,15607625,RB/FLEX,5500,In Progress,WAS,13.1
2289467348,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matt Ryan (15607538) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Terry McLaurin (15607841) (LOCKED),Calvin Ridley (15607805) (LOCKED),Olamide Zaccheaus (15607949) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),Kareem Hunt (15607605) (LOCKED),Panthers (15608292) (LOCKED),,WR,Jerry Jeudy (15607847) (LOCKED),Jerry Jeudy,15607847,WR/FLEX,5500,In Progress,DEN,11.1
2289467349,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Mike Davis (15607603) (LOCKED),Kareem Hunt (15607605) (LOCKED),A.J. Brown (15607845) (LOCKED),DJ Chark Jr. (15607827) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),T.J. Hockenson (15608113) (LOCKED),Phillip Lindsay (15607651) (LOCKED),Dolphins (15608293),,QB,Tua Tagovailoa (15607552),Tua Tagovailoa,15607552,QB,5400,NYJ@MIA 10/18/2020 04:05PM ET,MIA,0
2289467350,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Tom Brady (15607540),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),Davante Adams (15607803),A.J. Brown (15607845) (LOCKED),Scotty Miller (15607899),Rob Gronkowski (15608127),Phillip Lindsay (15607651) (LOCKED),Giants (15608289) (LOCKED),,RB,Myles Gaskin (15607629),Myles Gaskin,15607629,RB/FLEX,5400,NYJ@MIA 10/18/2020 04:05PM ET,MIA,13.72
2289467351,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ben Roethlisberger (15607537) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Chase Claypool (15607853) (LOCKED),Jarvis Landry (15607865) (LOCKED),Adam Thielen (15607807) (LOCKED),Eric Ebron (15608131) (LOCKED),Phillip Lindsay (15607651) (LOCKED),Giants (15608289) (LOCKED),,QB,Joe Burrow (15607554) (LOCKED),Joe Burrow,15607554,QB,5400,In Progress,CIN,18.93
2289467352,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matthew Stafford (15607542) (LOCKED),Mike Davis (15607603) (LOCKED),Todd Gurley II (15607613) (LOCKED),A.J. Brown (15607845) (LOCKED),Marvin Jones Jr. (15607857) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),T.J. Hockenson (15608113) (LOCKED),Ronald Jones II (15607621),Giants (15608289) (LOCKED),,QB,Daniel Jones (15607553) (LOCKED),Daniel Jones,15607553,QB,5400,In Progress,NYG,11.89
2289467353,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kyle Allen (15607561) (LOCKED),Mike Davis (15607603) (LOCKED),Alexander Mattison (15607599) (LOCKED),T.Y. Hilton (15607861) (LOCKED),Terry McLaurin (15607841) (LOCKED),Isaiah Wright (15608019) (LOCKED),Evan Engram (15608123) (LOCKED),Aaron Jones (15607595),Ravens (15608281) (LOCKED),,WR,Darius Slayton (15607849) (LOCKED),Darius Slayton,15607849,WR/FLEX,5400,In Progress,NYG,15.3
2289467354,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),James Conner (15607601) (LOCKED),Mike Davis (15607603) (LOCKED),Danny Amendola (15607903) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Adam Thielen (15607807) (LOCKED),Tyler Eifert (15608145) (LOCKED),David Johnson (15607627) (LOCKED),Patriots (15608282) (LOCKED),,RB,David Johnson (15607627) (LOCKED),David Johnson,15607627,RB/FLEX,5400,In Progress,HOU,12.6
2289467355,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Tom Brady (15607540),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),Chris Godwin (15607821),Terry McLaurin (15607841) (LOCKED),Scotty Miller (15607899),Robert Tonyan (15608117),David Johnson (15607627) (LOCKED),Panthers (15608292) (LOCKED),,QB,Jarrett Stidham (15607551) (LOCKED),Jarrett Stidham,15607551,QB,5400,In Progress,NE,4.7
2289467356,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),Mike Davis (15607603) (LOCKED),Jonathan Taylor (15607611) (LOCKED),Will Fuller V (15607813) (LOCKED),Kalif Raymond (15607945) (LOCKED),Darius Slayton (15607849) (LOCKED),Jonnu Smith (15608115) (LOCKED),Ronald Jones II (15607621),Colts (15608283) (LOCKED),,QB,Drew Lock (15607555) (LOCKED),Drew Lock,15607555,QB,5400,In Progress,DEN,6.47
2289467357,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Mike Davis (15607603) (LOCKED),Jonathan Taylor (15607611) (LOCKED),DJ Chark Jr. (15607827) (LOCKED),Keelan Cole (15607867) (LOCKED),Kenny Golladay (15607831) (LOCKED),Jonnu Smith (15608115) (LOCKED),Phillip Lindsay (15607651) (LOCKED),WAS Football Team (15608288) (LOCKED),,TE,Noah Fant (15608111) (LOCKED),Noah Fant,15608111,TE/FLEX,5400,In Progress,DEN,13.72
2289467358,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ben Roethlisberger (15607537) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Chase Claypool (15607853) (LOCKED),Terry McLaurin (15607841) (LOCKED),James Washington (15607901) (LOCKED),Austin Hooper (15608135) (LOCKED),James Robinson (15607607) (LOCKED),Buccaneers (15608290),,RB,Le'Veon Bell (15607631),Le'Veon Bell,15607631,RB/FLEX,5300,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,7.15
2289467359,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Derrick Henry (15607597) (LOCKED),Kareem Hunt (15607605) (LOCKED),Russell Gage (15607873) (LOCKED),Terry McLaurin (15607841) (LOCKED),Adam Thielen (15607807) (LOCKED),Kyle Rudolph (15608139) (LOCKED),David Montgomery (15607623) (LOCKED),Jets (15608299),,TE,T.J. Hockenson (15608113) (LOCKED),T.J. Hockenson,15608113,TE/FLEX,5300,In Progress,DET,11.75
2289467360,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),David Montgomery (15607623) (LOCKED),James Robinson (15607607) (LOCKED),A.J. Brown (15607845) (LOCKED),Will Fuller V (15607813) (LOCKED),Kalif Raymond (15607945) (LOCKED),Mark Andrews (15608107) (LOCKED),Ronald Jones II (15607621),Bears (15608287) (LOCKED),,QB,Sam Darnold (15607557),Sam Darnold,15607557,QB,5200,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,14.34
2289467361,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Tom Brady (15607540),Mike Davis (15607603) (LOCKED),Alexander Mattison (15607599) (LOCKED),Mike Evans (15607811),Terry McLaurin (15607841) (LOCKED),Malik Taylor (15607977),Rob Gronkowski (15608127),James Robinson (15607607) (LOCKED),Jets (15608299),,WR,Laviska Shenault Jr. (15607851) (LOCKED),Laviska Shenault Jr.,15607851,WR/FLEX,5200,In Progress,JAX,12.26
2289467362,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matthew Stafford (15607542) (LOCKED),James Conner (15607601) (LOCKED),Mike Davis (15607603) (LOCKED),Kenny Golladay (15607831) (LOCKED),Marvin Jones Jr. (15607857) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Jonnu Smith (15608115) (LOCKED),Phillip Lindsay (15607651) (LOCKED),Steelers (15608285) (LOCKED),,QB,Mitchell Trubisky (15607558) (LOCKED),Mitchell Trubisky,15607558,QB,5200,In Progress,CHI,17.37
2289467363,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kyle Allen (15607561) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Terry McLaurin (15607841) (LOCKED),Golden Tate (15607885) (LOCKED),Isaiah Wright (15608019) (LOCKED),Mark Andrews (15608107) (LOCKED),James Robinson (15607607) (LOCKED),Colts (15608283) (LOCKED),,TE,Jonnu Smith (15608115) (LOCKED),Jonnu Smith,15608115,TE/FLEX,5200,In Progress,TEN,17.52
2289467364,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Baker Mayfield (15607549) (LOCKED),Derrick Henry (15607597) (LOCKED),James Robinson (15607607) (LOCKED),Odell Beckham Jr. (15607823) (LOCKED),Adam Thielen (15607807) (LOCKED),James Washington (15607901) (LOCKED),Austin Hooper (15608135) (LOCKED),David Montgomery (15607623) (LOCKED),Eagles (15608298) (LOCKED),,WR,Chase Claypool (15607853) (LOCKED),Chase Claypool,15607853,WR/FLEX,5200,In Progress,PIT,18.38
2289467365,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matthew Stafford (15607542) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),Danny Amendola (15607903) (LOCKED),Marvin Jones Jr. (15607857) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Eric Ebron (15608131) (LOCKED),Aaron Jones (15607595),Ravens (15608281) (LOCKED),,QB,Brian Hoyer (15607556) (LOCKED),Brian Hoyer,15607556,QB,5200,In Progress,NE,4
2289467366,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matt Ryan (15607538) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Justin Jefferson (15607835) (LOCKED),Julio Jones (15607815) (LOCKED),Olamide Zaccheaus (15607949) (LOCKED),Eric Ebron (15608131) (LOCKED),Joe Mixon (15607615) (LOCKED),Dolphins (15608293),,QB,Brett Rypien (15607559) (LOCKED),Brett Rypien,15607559,QB,5200,In Progress,DEN,7.65
2289467367,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matthew Stafford (15607542) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Danny Amendola (15607903) (LOCKED),DJ Chark Jr. (15607827) (LOCKED),Kenny Golladay (15607831) (LOCKED),Eric Ebron (15608131) (LOCKED),Todd Gurley II (15607613) (LOCKED),Jets (15608299),,RB,Mark Ingram II (15607633) (LOCKED),Mark Ingram II,15607633,RB/FLEX,5100,In Progress,BAL,7.6
2289467368,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Tom Brady (15607540),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),Mike Evans (15607811),Scotty Miller (15607899),Marquez Valdes-Scantling (15607883),Jonnu Smith (15608115) (LOCKED),Jonathan Taylor (15607611) (LOCKED),Vikings (15608300) (LOCKED),,QB,Joe Flacco (15607560),Joe Flacco,15607560,QB,5100,NYJ@MIA 10/18/2020 04:05PM ET,NYJ,7.22
2289467369,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Mike Davis (15607603) (LOCKED),Alexander Mattison (15607599) (LOCKED),Danny Amendola (15607903) (LOCKED),Keelan Cole (15607867) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Jonnu Smith (15608115) (LOCKED),Kareem Hunt (15607605) (LOCKED),Buccaneers (15608290),,WR,Marvin Jones Jr. (15607857) (LOCKED),Marvin Jones Jr.,15607857,WR/FLEX,5100,In Progress,DET,7.95
2289467370,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Tom Brady (15607540),Mike Davis (15607603) (LOCKED),Alexander Mattison (15607599) (LOCKED),Kenny Golladay (15607831) (LOCKED),Scotty Miller (15607899),Marquez Valdes-Scantling (15607883),Rob Gronkowski (15608127),David Johnson (15607627) (LOCKED),Ravens (15608281) (LOCKED),,QB,Kyle Allen (15607561) (LOCKED),Kyle Allen,15607561,QB,5100,In Progress,WAS,9.66
