Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2250440152,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Tee Higgins (15512841) (LOCKED),DJ Moore (15512789) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Tyler Eifert (15513135) (LOCKED),Chris Carson (15512515) (LOCKED),Ravens (15513305) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
2259676322,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),DJ Chark Jr. (15512775) (LOCKED),A.J. Green (15512793) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Jordan Akins (15513143) (LOCKED),Mike Davis (15512527) (LOCKED),Buccaneers (15513311) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
2259681202,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Brandin Cooks (15512837) (LOCKED),DJ Moore (15512789) (LOCKED),Adam Thielen (15512759) (LOCKED),Irv Smith Jr. (15513213) (LOCKED),Chris Carson (15512515) (LOCKED),Bears (15513317),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2259681203,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Keelan Cole (15512845) (LOCKED),DK Metcalf (15512747) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Drew Sample (15513137) (LOCKED),Kenyan Drake (15512519) (LOCKED),Bears (15513317),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2259681204,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Justin Jefferson (15512803) (LOCKED),Marvin Jones Jr. (15512817) (LOCKED),Adam Thielen (15512759) (LOCKED),Jordan Akins (15513143) (LOCKED),Mike Davis (15512527) (LOCKED),Bengals (15513320) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2259681205,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Derek Carr (15512450),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Cole Beasley (15512831),Brandin Cooks (15512837) (LOCKED),Hunter Renfrow (15512833),Darren Waller (15513101),Chris Carson (15512515) (LOCKED),Buccaneers (15513311) (LOCKED),,
2259681206,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Tyler Boyd (15512773) (LOCKED),Keelan Cole (15512845) (LOCKED),DeVante Parker (15512785) (LOCKED),Tyler Eifert (15513135) (LOCKED),Mike Davis (15512527) (LOCKED),Vikings (15513322) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2259681246,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432) (LOCKED),Chris Carson (15512515) (LOCKED),Alvin Kamara (15512493) (LOCKED),Nelson Agholor (15512895),Will Fuller V (15512779) (LOCKED),Adam Thielen (15512759) (LOCKED),Jordan Akins (15513143) (LOCKED),Mike Davis (15512527) (LOCKED),Ravens (15513305) (LOCKED),,QB,Joe Burrow (15512435) (LOCKED),Joe Burrow,15512435,QB,6300,In Progress,CIN,23.08
2259681247,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Josh Allen (15512428),Chris Carson (15512515) (LOCKED),Alvin Kamara (15512493) (LOCKED),Cole Beasley (15512831),Stefon Diggs (15512749),Reece Fountain (15513077),Darren Waller (15513101),Mike Davis (15512527) (LOCKED),Jaguars (15513318) (LOCKED),,WR,Robert Woods (15512767),Robert Woods,15512767,WR/FLEX,6300,NYG@LAR 10/04/2020 04:05PM ET,LAR,17.87
2259681248,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Mike Davis (15512527) (LOCKED),Alvin Kamara (15512493) (LOCKED),Odell Beckham Jr. (15512783) (LOCKED),DJ Chark Jr. (15512775) (LOCKED),Keelan Cole (15512845) (LOCKED),Drew Sample (15513137) (LOCKED),Jonathan Taylor (15512509),Ravens (15513305) (LOCKED),,RB,Kareem Hunt (15512517) (LOCKED),Kareem Hunt,15512517,RB/FLEX,6200,In Progress,CLE,16.87
2259681249,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442) (LOCKED),Chris Carson (15512515) (LOCKED),Alvin Kamara (15512493) (LOCKED),Amari Cooper (15512755) (LOCKED),Jarvis Landry (15512809) (LOCKED),DJ Moore (15512789) (LOCKED),Austin Hooper (15513119) (LOCKED),David Johnson (15512531) (LOCKED),Chargers (15513319) (LOCKED),,WR,Michael Gallup (15512771) (LOCKED),Michael Gallup,15512771,WR/FLEX,6200,In Progress,DAL,14.87
2259681250,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Dak Prescott (15512429) (LOCKED),Mike Davis (15512527) (LOCKED),Alvin Kamara (15512493) (LOCKED),Odell Beckham Jr. (15512783) (LOCKED),Brandin Cooks (15512837) (LOCKED),Michael Gallup (15512771) (LOCKED),Dalton Schultz (15513113) (LOCKED),David Montgomery (15512535),Giants (15513325),,QB,Tom Brady (15512436) (LOCKED),Tom Brady,15512436,QB,6100,In Progress,TB,19.01
2259681251,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Philip Rivers (15512447),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Reece Fountain (15513077),DK Metcalf (15512747) (LOCKED),Allen Robinson II (15512753),Mo Alie-Cox (15513121),Mike Davis (15512527) (LOCKED),Giants (15513325),,WR,Tyler Boyd (15512773) (LOCKED),Tyler Boyd,15512773,WR/FLEX,6100,In Progress,CIN,17.67
2259681252,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Dalvin Cook (15512497) (LOCKED),Alvin Kamara (15512493) (LOCKED),Tyler Boyd (15512773) (LOCKED),Chris Conley (15512889) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Hunter Henry (15513109) (LOCKED),Mike Davis (15512527) (LOCKED),Ravens (15513305) (LOCKED),,WR,Kenny Golladay (15512777) (LOCKED),Kenny Golladay,15512777,WR/FLEX,6000,In Progress,DET,17.7
2259681253,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Tom Brady (15512436) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Mike Evans (15512765) (LOCKED),Jalen Guyton (15512907) (LOCKED),DJ Moore (15512789) (LOCKED),Rob Gronkowski (15513127) (LOCKED),Chris Carson (15512515) (LOCKED),Vikings (15513322) (LOCKED),,RB,Kenyan Drake (15512519) (LOCKED),Kenyan Drake,15512519,RB/FLEX,6000,In Progress,ARI,11.63
2259681254,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Tom Brady (15512436) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Mike Evans (15512765) (LOCKED),K.J. Hill (15513033) (LOCKED),DK Metcalf (15512747) (LOCKED),O.J. Howard (15513145) (LOCKED),Kenyan Drake (15512519) (LOCKED),Giants (15513325),,TE,Mark Andrews (15513095) (LOCKED),Mark Andrews,15513095,TE/FLEX,6000,In Progress,BAL,10.63
2259681255,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Joe Burrow (15512435) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Keelan Cole (15512845) (LOCKED),A.J. Green (15512793) (LOCKED),DJ Moore (15512789) (LOCKED),Drew Sample (15513137) (LOCKED),Ronald Jones II (15512555) (LOCKED),Ravens (15513305) (LOCKED),,QB,Ryan Tannehill (15512437),Ryan Tannehill,15512437,QB,6000,Postponed,TEN,20.95
2259681256,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Matthew Stafford (15512439) (LOCKED),Chris Carson (15512515) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Kenny Golladay (15512777) (LOCKED),Marvin Jones Jr. (15512817) (LOCKED),Allen Robinson II (15512753),Adam Trautman (15513295) (LOCKED),Kenyan Drake (15512519) (LOCKED),Rams (15513306),,WR,DJ Chark Jr. (15512775) (LOCKED),DJ Chark Jr.,15512775,WR/FLEX,6000,In Progress,JAX,11.95
2259681257,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Derek Carr (15512450),Chris Carson (15512515) (LOCKED),Alvin Kamara (15512493) (LOCKED),Nelson Agholor (15512895),John Brown (15512805),Allen Robinson II (15512753),Darren Waller (15513101),Kenyan Drake (15512519) (LOCKED),Rams (15513306),,QB,Matthew Stafford (15512439) (LOCKED),Matthew Stafford,15512439,QB,5900,In Progress,DET,17.61
2259681258,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Randall Cobb (15512823) (LOCKED),Will Fuller V (15512779) (LOCKED),Hunter Renfrow (15512833),Kyle Rudolph (15513141) (LOCKED),Chris Carson (15512515) (LOCKED),Panthers (15513324) (LOCKED),,QB,Gardner Minshew II (15512438) (LOCKED),Gardner Minshew II,15512438,QB,5900,In Progress,JAX,20.16
2259681259,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ronald Jones II (15512555) (LOCKED),Alvin Kamara (15512493) (LOCKED),DJ Chark Jr. (15512775) (LOCKED),A.J. Green (15512793) (LOCKED),DK Metcalf (15512747) (LOCKED),Tyler Eifert (15513135) (LOCKED),David Montgomery (15512535),Ravens (15513305) (LOCKED),,WR,Will Fuller V (15512779) (LOCKED),Will Fuller V,15512779,WR/FLEX,5900,In Progress,HOU,12.53
2259681260,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442) (LOCKED),Mike Davis (15512527) (LOCKED),Alvin Kamara (15512493) (LOCKED),Michael Gallup (15512771) (LOCKED),T.Y. Hilton (15512801),Jarvis Landry (15512809) (LOCKED),Austin Hooper (15513119) (LOCKED),Devin Singletary (15512521),Ravens (15513305) (LOCKED),,RB,Devin Singletary (15512521),Devin Singletary,15512521,RB/FLEX,5900,BUF@LV 10/04/2020 04:25PM ET,BUF,12
2259681261,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426) (LOCKED),David Johnson (15512531) (LOCKED),Alvin Kamara (15512493) (LOCKED),DK Metcalf (15512747) (LOCKED),DeVante Parker (15512785) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Greg Olsen (15513117) (LOCKED),David Montgomery (15512535),WAS Football Team (15513329) (LOCKED),,QB,Drew Brees (15512440) (LOCKED),Drew Brees,15512440,QB,5800,In Progress,NO,18.8
2259681262,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Joe Burrow (15512435) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Tyler Boyd (15512773) (LOCKED),Keelan Cole (15512845) (LOCKED),Tee Higgins (15512841) (LOCKED),T.J. Hockenson (15513107) (LOCKED),Kenyan Drake (15512519) (LOCKED),Dolphins (15513330) (LOCKED),,WR,Terry McLaurin (15512781) (LOCKED),Terry McLaurin,15512781,WR/FLEX,5800,In Progress,WAS,17.4
2259681263,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Josh Allen (15512428),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Nelson Agholor (15512895),John Brown (15512805),Stefon Diggs (15512749),Logan Thomas (15513131) (LOCKED),Kenyan Drake (15512519) (LOCKED),Dolphins (15513330) (LOCKED),,QB,Justin Herbert (15512441) (LOCKED),Justin Herbert,15512441,QB,5800,In Progress,LAC,22.97
2259681264,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442) (LOCKED),Alvin Kamara (15512493) (LOCKED),Joe Mixon (15512525) (LOCKED),Odell Beckham Jr. (15512783) (LOCKED),Amari Cooper (15512755) (LOCKED),Jarvis Landry (15512809) (LOCKED),T.J. Hockenson (15513107) (LOCKED),Ronald Jones II (15512555) (LOCKED),Colts (15513313),,RB,Joe Mixon (15512525) (LOCKED),Joe Mixon,15512525,RB/FLEX,5800,In Progress,CIN,9.4
2259681265,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442) (LOCKED),Ronald Jones II (15512555) (LOCKED),Alvin Kamara (15512493) (LOCKED),Odell Beckham Jr. (15512783) (LOCKED),CeeDee Lamb (15512799) (LOCKED),DK Metcalf (15512747) (LOCKED),Austin Hooper (15513119) (LOCKED),Devin Singletary (15512521),Cardinals (15513309) (LOCKED),,QB,Baker Mayfield (15512442) (LOCKED),Baker Mayfield,15512442,QB,5800,In Progress,CLE,13.82
2259681266,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445) (LOCKED),Mike Davis (15512527) (LOCKED),Alvin Kamara (15512493) (LOCKED),Brandin Cooks (15512837) (LOCKED),Tyler Lockett (15512743) (LOCKED),Adam Thielen (15512759) (LOCKED),Kyle Rudolph (15513141) (LOCKED),Jonathan Taylor (15512509),Giants (15513325),,WR,Odell Beckham Jr. (15512783) (LOCKED),Odell Beckham Jr.,15512783,WR/FLEX,5800,In Progress,CLE,10.83
2259681267,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Randall Cobb (15512823) (LOCKED),Tee Higgins (15512841) (LOCKED),Adam Thielen (15512759) (LOCKED),Jordan Akins (15513143) (LOCKED),David Montgomery (15512535),Chargers (15513319) (LOCKED),,RB,Darrell Henderson Jr. (15512523),Darrell Henderson Jr.,15512523,RB/FLEX,5800,NYG@LAR 10/04/2020 04:05PM ET,LAR,14.23
2259681268,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426) (LOCKED),Kenyan Drake (15512519) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),DK Metcalf (15512747) (LOCKED),David Moore (15512903) (LOCKED),DeVante Parker (15512785) (LOCKED),Hunter Henry (15513109) (LOCKED),Joe Mixon (15512525) (LOCKED),WAS Football Team (15513329) (LOCKED),,QB,Nick Foles (15512444),Nick Foles,15512444,QB,5700,IND@CHI 10/04/2020 04:25PM ET,CHI,18.22
2259681269,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Philip Rivers (15512447),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Brandin Cooks (15512837) (LOCKED),T.Y. Hilton (15512801),Anthony Miller (15512819),Mo Alie-Cox (15513121),Kenyan Drake (15512519) (LOCKED),Ravens (15513305) (LOCKED),,RB,Mike Davis (15512527) (LOCKED),Mike Davis,15512527,RB/FLEX,5700,In Progress,CAR,12.87
2259681270,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445) (LOCKED),Chris Carson (15512515) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Will Fuller V (15512779) (LOCKED),Justin Jefferson (15512803) (LOCKED),Adam Thielen (15512759) (LOCKED),Darren Waller (15513101),Ronald Jones II (15512555) (LOCKED),Giants (15513325),,RB,Mark Ingram II (15512529) (LOCKED),Mark Ingram II,15512529,RB/FLEX,5700,In Progress,BAL,7.2
2259681271,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426) (LOCKED),Mike Davis (15512527) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Brandin Cooks (15512837) (LOCKED),DK Metcalf (15512747) (LOCKED),Preston Williams (15512839) (LOCKED),Greg Olsen (15513117) (LOCKED),Joe Mixon (15512525) (LOCKED),Raiders (15513323),,QB,Tyrod Taylor (15512443) (LOCKED),Tyrod Taylor,15512443,QB,5700,In Progress,LAC,9.02
2259681272,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432) (LOCKED),Kenyan Drake (15512519) (LOCKED),Alvin Kamara (15512493) (LOCKED),Will Fuller V (15512779) (LOCKED),Justin Jefferson (15512803) (LOCKED),DK Metcalf (15512747) (LOCKED),Jordan Akins (15513143) (LOCKED),David Montgomery (15512535),Giants (15513325),,WR,DeVante Parker (15512785) (LOCKED),DeVante Parker,15512785,WR/FLEX,5700,In Progress,MIA,12.3
2259681273,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445) (LOCKED),Kenyan Drake (15512519) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Brandin Cooks (15512837) (LOCKED),Justin Jefferson (15512803) (LOCKED),Adam Thielen (15512759) (LOCKED),Mike Gesicki (15513103) (LOCKED),Joe Mixon (15512525) (LOCKED),Buccaneers (15513311) (LOCKED),,TE,Tyler Higbee (15513097),Tyler Higbee,15513097,TE/FLEX,5700,NYG@LAR 10/04/2020 04:05PM ET,LAR,14.47
2259681274,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442) (LOCKED),Kenyan Drake (15512519) (LOCKED),Alvin Kamara (15512493) (LOCKED),Odell Beckham Jr. (15512783) (LOCKED),Amari Cooper (15512755) (LOCKED),KhaDarel Hodge (15512919) (LOCKED),Darren Waller (15513101),David Johnson (15512531) (LOCKED),Cardinals (15513309) (LOCKED),,WR,Julian Edelman (15512787),Julian Edelman,15512787,WR/FLEX,5700,Postponed,NE,15.37
2259681275,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Chris Carson (15512515) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),DJ Chark Jr. (15512775) (LOCKED),Keelan Cole (15512845) (LOCKED),A.J. Green (15512793) (LOCKED),Hunter Henry (15513109) (LOCKED),Kenyan Drake (15512519) (LOCKED),Colts (15513313),,QB,Teddy Bridgewater (15512446) (LOCKED),Teddy Bridgewater,15512446,QB,5600,In Progress,CAR,16.21
2259681276,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442) (LOCKED),Alvin Kamara (15512493) (LOCKED),Joe Mixon (15512525) (LOCKED),CeeDee Lamb (15512799) (LOCKED),Jarvis Landry (15512809) (LOCKED),Tyler Lockett (15512743) (LOCKED),Austin Hooper (15513119) (LOCKED),David Montgomery (15512535),Buccaneers (15513311) (LOCKED),,WR,DJ Moore (15512789) (LOCKED),DJ Moore,15512789,WR/FLEX,5600,In Progress,CAR,13.63
2259681277,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Dak Prescott (15512429) (LOCKED),Mike Davis (15512527) (LOCKED),Alvin Kamara (15512493) (LOCKED),CeeDee Lamb (15512799) (LOCKED),Jarvis Landry (15512809) (LOCKED),DeVante Parker (15512785) (LOCKED),Dalton Schultz (15513113) (LOCKED),David Johnson (15512531) (LOCKED),Jaguars (15513318) (LOCKED),,WR,Diontae Johnson (15512791),Diontae Johnson,15512791,WR/FLEX,5600,Postponed,PIT,11.6
2259681278,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442) (LOCKED),Dalvin Cook (15512497) (LOCKED),Alvin Kamara (15512493) (LOCKED),Odell Beckham Jr. (15512783) (LOCKED),KhaDarel Hodge (15512919) (LOCKED),DJ Moore (15512789) (LOCKED),Dalton Schultz (15513113) (LOCKED),Chris Carson (15512515) (LOCKED),Colts (15513313),,RB,Leonard Fournette (15512533) (LOCKED),Leonard Fournette,15512533,RB/FLEX,5600,In Progress,TB,12.57
2259681279,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Dak Prescott (15512429) (LOCKED),Kenyan Drake (15512519) (LOCKED),Alvin Kamara (15512493) (LOCKED),Brandin Cooks (15512837) (LOCKED),Amari Cooper (15512755) (LOCKED),Jarvis Landry (15512809) (LOCKED),Dalton Schultz (15513113) (LOCKED),Ronald Jones II (15512555) (LOCKED),Buccaneers (15513311) (LOCKED),,QB,Kirk Cousins (15512445) (LOCKED),Kirk Cousins,15512445,QB,5600,In Progress,MIN,15.24
2259681280,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426) (LOCKED),Alvin Kamara (15512493) (LOCKED),Joe Mixon (15512525) (LOCKED),Tyler Lockett (15512743) (LOCKED),David Moore (15512903) (LOCKED),DeVante Parker (15512785) (LOCKED),Logan Thomas (15513131) (LOCKED),David Montgomery (15512535),Cowboys (15513314) (LOCKED),,RB,David Johnson (15512531) (LOCKED),David Johnson,15512531,RB/FLEX,5600,In Progress,HOU,13.17
2259681281,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Matthew Stafford (15512439) (LOCKED),Mike Davis (15512527) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Marvin Jones Jr. (15512817) (LOCKED),Tyler Lockett (15512743) (LOCKED),Tre'Quan Smith (15512815) (LOCKED),T.J. Hockenson (15513107) (LOCKED),David Montgomery (15512535),Buccaneers (15513311) (LOCKED),,QB,Philip Rivers (15512447),Philip Rivers,15512447,QB,5500,IND@CHI 10/04/2020 04:25PM ET,IND,14.79
2259681282,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Devin Singletary (15512521),Tyler Boyd (15512773) (LOCKED),Tyler Lockett (15512743) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Tyler Eifert (15513135) (LOCKED),David Montgomery (15512535),Rams (15513306),,RB,David Montgomery (15512535),David Montgomery,15512535,RB/FLEX,5500,IND@CHI 10/04/2020 04:25PM ET,CHI,12.5
2259681283,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445) (LOCKED),Kenyan Drake (15512519) (LOCKED),Alvin Kamara (15512493) (LOCKED),Randall Cobb (15512823) (LOCKED),Tyler Lockett (15512743) (LOCKED),Adam Thielen (15512759) (LOCKED),Irv Smith Jr. (15513213) (LOCKED),Devin Singletary (15512521),Cardinals (15513309) (LOCKED),,WR,A.J. Brown (15512795),A.J. Brown,15512795,WR/FLEX,5500,Postponed,TEN,8.9
2259681284,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426) (LOCKED),Mike Davis (15512527) (LOCKED),Ronald Jones II (15512555) (LOCKED),Tyler Lockett (15512743) (LOCKED),DK Metcalf (15512747) (LOCKED),DeVante Parker (15512785) (LOCKED),Jordan Akins (15513143) (LOCKED),David Montgomery (15512535),Saints (15513310) (LOCKED),,WR,A.J. Green (15512793) (LOCKED),A.J. Green,15512793,WR/FLEX,5500,In Progress,CIN,8.2
2259681285,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426) (LOCKED),Kenyan Drake (15512519) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Nelson Agholor (15512895),Tyler Lockett (15512743) (LOCKED),DeVante Parker (15512785) (LOCKED),Greg Olsen (15513117) (LOCKED),Ronald Jones II (15512555) (LOCKED),Buccaneers (15513311) (LOCKED),,TE,Jared Cook (15513099) (LOCKED),Jared Cook,15513099,TE/FLEX,5400,In Progress,NO,8.8
2259681286,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Josh Allen (15512428),Mike Davis (15512527) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),John Brown (15512805),Brandin Cooks (15512837) (LOCKED),Stefon Diggs (15512749),Darren Waller (15513101),David Montgomery (15512535),WAS Football Team (15513329) (LOCKED),,WR,Robby Anderson (15512797) (LOCKED),Robby Anderson,15512797,WR/FLEX,5400,In Progress,CAR,20.27
2259681287,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Dak Prescott (15512429) (LOCKED),Chris Carson (15512515) (LOCKED),Alvin Kamara (15512493) (LOCKED),Amari Cooper (15512755) (LOCKED),Michael Gallup (15512771) (LOCKED),KhaDarel Hodge (15512919) (LOCKED),Jordan Akins (15513143) (LOCKED),Kenyan Drake (15512519) (LOCKED),Bears (15513317),,QB,Ryan Fitzpatrick (15512448) (LOCKED),Ryan Fitzpatrick,15512448,QB,5400,In Progress,MIA,20.32
2259681288,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Matthew Stafford (15512439) (LOCKED),Kenyan Drake (15512519) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Kenny Golladay (15512777) (LOCKED),Deonte Harris (15512909) (LOCKED),DK Metcalf (15512747) (LOCKED),T.J. Hockenson (15513107) (LOCKED),Devin Singletary (15512521),Buccaneers (15513311) (LOCKED),,QB,Tua Tagovailoa (15512449) (LOCKED),Tua Tagovailoa,15512449,QB,5400,In Progress,MIA,0
2259681289,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Mike Davis (15512527) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),DJ Chark Jr. (15512775) (LOCKED),Brandin Cooks (15512837) (LOCKED),Allen Robinson II (15512753),Tyler Eifert (15513135) (LOCKED),Joe Mixon (15512525) (LOCKED),Ravens (15513305) (LOCKED),,WR,CeeDee Lamb (15512799) (LOCKED),CeeDee Lamb,15512799,WR/FLEX,5400,In Progress,DAL,14.33
2259681290,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426) (LOCKED),Mike Davis (15512527) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Isaiah Ford (15512891) (LOCKED),Tyler Lockett (15512743) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Greg Olsen (15513117) (LOCKED),David Montgomery (15512535),Ravens (15513305) (LOCKED),,QB,Mitchell Trubisky (15512451),Mitchell Trubisky,15512451,QB,5300,IND@CHI 10/04/2020 04:25PM ET,CHI,17.37
