Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2270734651,NFL Wrangler Let the Games Begin,93172533,$0,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,1. Column A lists all of your contest entries for this draftgroup
2270711717,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,2. Your current lineup is listed next to each entry (blank for reservations)
2270711718,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2270711719,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2270711720,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,5. For faster processing only include entries you are changing in the file you upload
2270711721,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,
2270711722,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2270711774,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,TE,Darren Waller (15560854),Darren Waller,15560854,TE/FLEX,5900,LV@KC 10/11/2020 01:00PM ET,LV,15.42
2270711775,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,DeVante Parker (15560544),DeVante Parker,15560544,WR/FLEX,5900,MIA@SF 10/11/2020 04:05PM ET,MIA,15.22
2270711776,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Jamison Crowder (15560548),Jamison Crowder,15560548,WR/FLEX,5800,ARI@NYJ 10/11/2020 01:00PM ET,NYJ,23.95
2270711777,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Jerick McKinnon (15560312),Jerick McKinnon,15560312,RB/FLEX,5800,MIA@SF 10/11/2020 04:05PM ET,SF,16.62
2270711778,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Philip Rivers (15560230),Philip Rivers,15560230,QB,5800,IND@CLE 10/11/2020 04:25PM ET,IND,13.89
2270711779,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Julian Edelman (15560550),Julian Edelman,15560550,WR/FLEX,5700,Postponed,NE,13.15
2270711780,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Kenyan Drake (15560316),Kenyan Drake,15560316,RB/FLEX,5700,ARI@NYJ 10/11/2020 01:00PM ET,ARI,9.6
2270711781,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Todd Gurley II (15560314),Todd Gurley II,15560314,RB/FLEX,5700,CAR@ATL 10/11/2020 01:00PM ET,ATL,13.58
2270711782,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,TE,Zach Ertz (15560856),Zach Ertz,15560856,TE/FLEX,5700,PHI@PIT 10/11/2020 01:00PM ET,PHI,10.22
2270711783,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Baker Mayfield (15560231),Baker Mayfield,15560231,QB,5700,IND@CLE 10/11/2020 04:25PM ET,CLE,14.16
2270711784,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,TE,Tyler Higbee (15560858),Tyler Higbee,15560858,TE/FLEX,5600,LAR@WAS 10/11/2020 01:00PM ET,LAR,12.1
2270711785,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Carson Wentz (15560233),Carson Wentz,15560233,QB,5600,PHI@PIT 10/11/2020 01:00PM ET,PHI,19.08
2270711786,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Diontae Johnson (15560552),Diontae Johnson,15560552,WR/FLEX,5600,PHI@PIT 10/11/2020 01:00PM ET,PIT,11.6
2270711787,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Ryan Fitzpatrick (15560232),Ryan Fitzpatrick,15560232,QB,5600,MIA@SF 10/11/2020 04:05PM ET,MIA,21.82
2270711788,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Sam Darnold (15560235),Sam Darnold,15560235,QB,5500,ARI@NYJ 10/11/2020 01:00PM ET,NYJ,14.34
2270711789,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Alshon Jeffery (15560554),Alshon Jeffery,15560554,WR/FLEX,5500,PHI@PIT 10/11/2020 01:00PM ET,PHI,0
2270711790,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Jimmy Garoppolo (15560234),Jimmy Garoppolo,15560234,QB,5500,MIA@SF 10/11/2020 04:05PM ET,SF,16.25
2270711791,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Jerry Jeudy (15560560),Jerry Jeudy,15560560,WR/FLEX,5400,Postponed,DEN,11.1
2270711792,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,TE,Noah Fant (15560860),Noah Fant,15560860,TE/FLEX,5400,Postponed,DEN,13.72
2270711793,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,A.J. Brown (15560556),A.J. Brown,15560556,WR/FLEX,5400,Postponed,TEN,8.9
2270711794,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Mark Ingram II (15560318),Mark Ingram II,15560318,RB/FLEX,5400,CIN@BAL 10/11/2020 01:00PM ET,BAL,8.08
2270711795,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Tua Tagovailoa (15560236),Tua Tagovailoa,15560236,QB,5400,MIA@SF 10/11/2020 04:05PM ET,MIA,0
2270711796,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Daniel Jones (15560237),Daniel Jones,15560237,QB,5400,NYG@DAL 10/11/2020 04:25PM ET,NYG,12.56
2270711797,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Michael Gallup (15560558),Michael Gallup,15560558,WR/FLEX,5400,NYG@DAL 10/11/2020 04:25PM ET,DAL,12.38
2270711798,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Drew Lock (15560238),Drew Lock,15560238,QB,5300,Postponed,DEN,6.47
2270711799,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Darrell Henderson Jr. (15560320),Darrell Henderson Jr.,15560320,RB/FLEX,5300,LAR@WAS 10/11/2020 01:00PM ET,LAR,11.85
2270711800,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Malcolm Brown (15560322),Malcolm Brown,15560322,RB/FLEX,5300,LAR@WAS 10/11/2020 01:00PM ET,LAR,10.82
2270711801,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Derek Carr (15560240),Derek Carr,15560240,QB,5300,LV@KC 10/11/2020 01:00PM ET,LV,19.52
2270711802,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Nick Mullens (15560239),Nick Mullens,15560239,QB,5300,MIA@SF 10/11/2020 04:05PM ET,SF,10.45
2270711803,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,C.J. Beathard (15560250),C.J. Beathard,15560250,QB,5300,MIA@SF 10/11/2020 04:05PM ET,SF,5.52
2270711804,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Deebo Samuel (15560562),Deebo Samuel,15560562,WR/FLEX,5300,MIA@SF 10/11/2020 04:05PM ET,SF,7.5
2270711805,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,David Johnson (15560324),David Johnson,15560324,RB/FLEX,5200,JAX@HOU 10/11/2020 01:00PM ET,HOU,12.68
2270711806,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Brandon Aiyuk (15560564),Brandon Aiyuk,15560564,WR/FLEX,5200,MIA@SF 10/11/2020 04:05PM ET,SF,12.93
2270711807,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Brett Rypien (15560241),Brett Rypien,15560241,QB,5100,Postponed,DEN,7.65
2270711808,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Le'Veon Bell (15560326),Le'Veon Bell,15560326,RB/FLEX,5100,ARI@NYJ 10/11/2020 01:00PM ET,NYJ,6.6
2270711809,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Russell Gage (15560566),Russell Gage,15560566,WR/FLEX,5100,CAR@ATL 10/11/2020 01:00PM ET,ATL,12.15
2270711810,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Dwayne Haskins Jr. (15560242),Dwayne Haskins Jr.,15560242,QB,5100,LAR@WAS 10/11/2020 01:00PM ET,WAS,15.14
2270711811,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Rex Burkhead (15560332),Rex Burkhead,15560332,RB/FLEX,5000,Postponed,NE,13.22
2270711812,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Will Grier (15560243),Will Grier,15560243,QB,5000,CAR@ATL 10/11/2020 01:00PM ET,CAR,0
2270711813,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Antonio Gibson (15560328),Antonio Gibson,15560328,RB/FLEX,5000,LAR@WAS 10/11/2020 01:00PM ET,WAS,13.85
2270711814,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Matt Barkley (15560244),Matt Barkley,15560244,QB,5000,Postponed,BUF,0
2270711815,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Jeff Wilson Jr. (15560330),Jeff Wilson Jr.,15560330,RB/FLEX,5000,MIA@SF 10/11/2020 04:05PM ET,SF,6.28
2270711816,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,TE,Mike Gesicki (15560862),Mike Gesicki,15560862,TE/FLEX,5000,MIA@SF 10/11/2020 04:05PM ET,MIA,11.75
2270711817,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Sterling Shepard (15560568),Sterling Shepard,15560568,WR/FLEX,5000,NYG@DAL 10/11/2020 04:25PM ET,NYG,8.1
2270711818,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Jarvis Landry (15560570),Jarvis Landry,15560570,WR/FLEX,5000,IND@CLE 10/11/2020 04:25PM ET,CLE,10.40
2270711819,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Jarrett Stidham (15560246),Jarrett Stidham,15560246,QB,4900,Postponed,NE,4.7
2270711820,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Brian Hoyer (15560247),Brian Hoyer,15560247,QB,4900,Postponed,NE,4
2270711821,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,James White (15560334),James White,15560334,RB/FLEX,4900,Postponed,NE,10.55
2270711822,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Brett Hundley (15560245),Brett Hundley,15560245,QB,4900,ARI@NYJ 10/11/2020 01:00PM ET,ARI,0
2270711823,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,TE,Jonnu Smith (15560864),Jonnu Smith,15560864,TE/FLEX,4900,Postponed,TEN,16.37
2270711824,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,James Washington (15560574),James Washington,15560574,WR/FLEX,4900,PHI@PIT 10/11/2020 01:00PM ET,PIT,8.4
2270711825,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Tee Higgins (15560576),Tee Higgins,15560576,WR/FLEX,4900,CIN@BAL 10/11/2020 01:00PM ET,CIN,10.12
2270711826,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Hunter Renfrow (15560578),Hunter Renfrow,15560578,WR/FLEX,4900,LV@KC 10/11/2020 01:00PM ET,LV,10.48
2270711827,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,T.Y. Hilton (15560572),T.Y. Hilton,15560572,WR/FLEX,4900,IND@CLE 10/11/2020 04:25PM ET,IND,7.3
2270711828,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Blake Bortles (15560248),Blake Bortles,15560248,QB,4800,Postponed,DEN,0
2270711829,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Joe Flacco (15560252),Joe Flacco,15560252,QB,4800,ARI@NYJ 10/11/2020 01:00PM ET,NYJ,0.64
2270711830,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Curtis Samuel (15560582),Curtis Samuel,15560582,WR/FLEX,4800,CAR@ATL 10/11/2020 01:00PM ET,CAR,8.05
