Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2169356456,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),DeAndre Hopkins (15033809),Dante Pettis (15033983),Trent Taylor (15033957),T.J. Hockenson (15034327) (LOCKED),Alvin Kamara (15033487),Eagles (15034594) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
2169371496,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Aaron Rodgers (15033404) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Davante Adams (15033803) (LOCKED),Marquise Brown (15033861) (LOCKED),Marquez Valdes-Scantling (15033933) (LOCKED),Irv Smith Jr. (15034377) (LOCKED),Alvin Kamara (15033487),Bengals (15034600),,2. Your current lineup is listed next to each entry (blank for reservations)
2169371497,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Philip Rivers (15033408) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Parris Campbell (15033959) (LOCKED),T.Y. Hilton (15033841) (LOCKED),Laviska Shenault Jr. (15033909) (LOCKED),Hayden Hurst (15034325) (LOCKED),Alvin Kamara (15033487),Eagles (15034594) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2169371498,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Marquise Brown (15033861) (LOCKED),Christian Kirk (15033865),Dante Pettis (15033983),George Kittle (15034307),Alvin Kamara (15033487),Dolphins (15034615) (LOCKED),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2169371499,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Gardner Minshew II (15033412) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),DJ Chark Jr. (15033823) (LOCKED),Chris Conley (15033945) (LOCKED),T.Y. Hilton (15033841) (LOCKED),Hayden Hurst (15034325) (LOCKED),Alvin Kamara (15033487),Packers (15034604) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2169371500,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Russell Wilson (15033398) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Marquise Brown (15033861) (LOCKED),DK Metcalf (15033839) (LOCKED),David Moore (15033991) (LOCKED),Hayden Hurst (15034325) (LOCKED),Alvin Kamara (15033487),Colts (15034599) (LOCKED),,
2169371501,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Mitchell Trubisky (15033420) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Ted Ginn Jr. (15033975) (LOCKED),Marvin Jones Jr. (15033851) (LOCKED),Darnell Mooney (15034079) (LOCKED),George Kittle (15034307),Alvin Kamara (15033487),Patriots (15034597) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2169371543,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Russell Wilson (15033398) (LOCKED),Antonio Gibson (15033595) (LOCKED),Josh Jacobs (15033493) (LOCKED),Russell Gage (15033915) (LOCKED),Tyler Lockett (15033817) (LOCKED),David Moore (15033991) (LOCKED),George Kittle (15034307),Alvin Kamara (15033487),Bears (15034596) (LOCKED),,RB,James White (15033509) (LOCKED),James White,15033509,RB/FLEX,6000,In Progress,NE,13.3
2169371544,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Chris Carson (15033503) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Marquise Brown (15033861) (LOCKED),Larry Fitzgerald (15033899),Trent Taylor (15033957),George Kittle (15034307),Boston Scott (15033541) (LOCKED),Vikings (15034606) (LOCKED),,WR,Julian Edelman (15033831) (LOCKED),Julian Edelman,15033831,WR/FLEX,6000,In Progress,NE,16.44
2169371545,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Gardner Minshew II (15033412) (LOCKED),Todd Gurley II (15033505) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Chris Conley (15033945) (LOCKED),Terry McLaurin (15033847) (LOCKED),Laviska Shenault Jr. (15033909) (LOCKED),Jack Doyle (15034347) (LOCKED),Alvin Kamara (15033487),Bears (15034596) (LOCKED),,WR,DeVante Parker (15033833) (LOCKED),DeVante Parker,15033833,WR/FLEX,6000,In Progress,MIA,16.14
2169371546,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Gardner Minshew II (15033412) (LOCKED),Todd Gurley II (15033505) (LOCKED),Josh Jacobs (15033493) (LOCKED),DJ Chark Jr. (15033823) (LOCKED),T.Y. Hilton (15033841) (LOCKED),Terry McLaurin (15033847) (LOCKED),Tyler Eifert (15034365) (LOCKED),Alvin Kamara (15033487),Ravens (15034598) (LOCKED),,QB,Philip Rivers (15033408) (LOCKED),Philip Rivers,15033408,QB,6000,In Progress,IND,17.66
2169371547,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Teddy Bridgewater (15033409) (LOCKED),Antonio Gibson (15033595) (LOCKED),Joe Mixon (15033495),Davante Adams (15033803) (LOCKED),DJ Moore (15033813) (LOCKED),Henry Ruggs III (15033863) (LOCKED),Ian Thomas (15034361) (LOCKED),Alvin Kamara (15033487),Bills (15034593) (LOCKED),,TE,Mark Andrews (15034309) (LOCKED),Mark Andrews,15034309,TE/FLEX,6000,In Progress,BAL,13.88
2169371548,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Matthew Stafford (15033406) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Keenan Allen (15033819),Marvin Jones Jr. (15033851) (LOCKED),Darnell Mooney (15034079) (LOCKED),T.J. Hockenson (15034327) (LOCKED),Alvin Kamara (15033487),49ers (15034595),,RB,David Montgomery (15033511) (LOCKED),David Montgomery,15033511,RB/FLEX,5900,In Progress,CHI,11.15
2169371549,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Cam Newton (15033407) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Damiere Byrd (15034031) (LOCKED),N'Keal Harry (15033907) (LOCKED),Preston Williams (15033895) (LOCKED),George Kittle (15034307),Alvin Kamara (15033487),Packers (15034604) (LOCKED),,WR,Odell Beckham Jr. (15033835) (LOCKED),Odell Beckham Jr.,15033835,WR/FLEX,5900,In Progress,CLE,13.02
2169371550,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Philip Rivers (15033408) (LOCKED),Dalvin Cook (15033485) (LOCKED),Josh Jacobs (15033493) (LOCKED),Chris Conley (15033945) (LOCKED),T.Y. Hilton (15033841) (LOCKED),Michael Pittman Jr. (15033903) (LOCKED),George Kittle (15034307),Boston Scott (15033541) (LOCKED),Ravens (15034598) (LOCKED),,WR,Jarvis Landry (15033837) (LOCKED),Jarvis Landry,15033837,WR/FLEX,5900,In Progress,CLE,15.21
2169371551,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Aaron Rodgers (15033404) (LOCKED),Joe Mixon (15033495),Boston Scott (15033541) (LOCKED),Davante Adams (15033803) (LOCKED),Justin Jefferson (15033877) (LOCKED),Calvin Ridley (15033827) (LOCKED),Jace Sternberger (15034345) (LOCKED),Alvin Kamara (15033487),Patriots (15034597) (LOCKED),,QB,Teddy Bridgewater (15033409) (LOCKED),Teddy Bridgewater,15033409,QB,5900,In Progress,CAR,10.61
2169371552,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Philip Rivers (15033408) (LOCKED),Austin Ekeler (15033489),Boston Scott (15033541) (LOCKED),DJ Chark Jr. (15033823) (LOCKED),T.Y. Hilton (15033841) (LOCKED),Calvin Ridley (15033827) (LOCKED),Jack Doyle (15034347) (LOCKED),Alvin Kamara (15033487),Patriots (15034597) (LOCKED),,QB,Derek Carr (15033410) (LOCKED),Derek Carr,15033410,QB,5900,In Progress,LV,16.15
2169371553,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Brandon Aiyuk (15033901),Christian Kirk (15033865),Trent Taylor (15033957),Mark Andrews (15034309) (LOCKED),Austin Ekeler (15033489),Colts (15034599) (LOCKED),,TE,Darren Waller (15034311) (LOCKED),Darren Waller,15034311,TE/FLEX,5900,In Progress,LV,14.81
2169371554,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Lamar Jackson (15033397) (LOCKED),Josh Jacobs (15033493) (LOCKED),Boston Scott (15033541) (LOCKED),Miles Boykin (15033931) (LOCKED),Marquise Brown (15033861) (LOCKED),Jarvis Landry (15033837) (LOCKED),Hayden Hurst (15034325) (LOCKED),Alvin Kamara (15033487),Eagles (15034594) (LOCKED),,WR,DK Metcalf (15033839) (LOCKED),DK Metcalf,15033839,WR/FLEX,5800,In Progress,SEA,13.06
2169371555,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Aaron Rodgers (15033404) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Joe Mixon (15033495),Olabisi Johnson (15033935) (LOCKED),Terry McLaurin (15033847) (LOCKED),Marquez Valdes-Scantling (15033933) (LOCKED),Jace Sternberger (15034345) (LOCKED),Alvin Kamara (15033487),Seahawks (15034608) (LOCKED),,TE,Zach Ertz (15034313) (LOCKED),Zach Ertz,15034313,TE/FLEX,5800,In Progress,PHI,14.12
2169371556,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Kirk Cousins (15033415) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),DK Metcalf (15033839) (LOCKED),Adam Thielen (15033811) (LOCKED),Marquez Valdes-Scantling (15033933) (LOCKED),Irv Smith Jr. (15034377) (LOCKED),Austin Ekeler (15033489),49ers (15034595),,QB,Gardner Minshew II (15033412) (LOCKED),Gardner Minshew II,15033412,QB,5800,In Progress,JAX,17.73
2169371557,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Kirk Cousins (15033415) (LOCKED),Austin Ekeler (15033489),Josh Jacobs (15033493) (LOCKED),Davante Adams (15033803) (LOCKED),Olabisi Johnson (15033935) (LOCKED),Terry McLaurin (15033847) (LOCKED),Irv Smith Jr. (15034377) (LOCKED),Alvin Kamara (15033487),Patriots (15034597) (LOCKED),,WR,T.Y. Hilton (15033841) (LOCKED),T.Y. Hilton,15033841,WR/FLEX,5800,In Progress,IND,12.51
2169371558,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Joe Mixon (15033495),Boston Scott (15033541) (LOCKED),Davante Adams (15033803) (LOCKED),Larry Fitzgerald (15033899),Dante Pettis (15033983),George Kittle (15034307),Alvin Kamara (15033487),Lions (15034602) (LOCKED),,QB,Joe Burrow (15033411),Joe Burrow,15033411,QB,5800,LAC@CIN 09/13/2020 04:05PM ET,CIN,0
2169371559,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Mitchell Trubisky (15033420) (LOCKED),Antonio Gibson (15033595) (LOCKED),Josh Jacobs (15033493) (LOCKED),Davante Adams (15033803) (LOCKED),Marvin Jones Jr. (15033851) (LOCKED),Allen Robinson II (15033815) (LOCKED),Jimmy Graham (15034335) (LOCKED),Alvin Kamara (15033487),49ers (15034595),,QB,Jimmy Garoppolo (15033413),Jimmy Garoppolo,15033413,QB,5800,ARI@SF 09/13/2020 04:25PM ET,SF,15.60
2169371560,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Kirk Cousins (15033415) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Davante Adams (15033803) (LOCKED),N'Keal Harry (15033907) (LOCKED),Justin Jefferson (15033877) (LOCKED),Kyle Rudolph (15034339) (LOCKED),Alvin Kamara (15033487),Jets (15034613) (LOCKED),,RB,Raheem Mostert (15033513),Raheem Mostert,15033513,RB/FLEX,5800,ARI@SF 09/13/2020 04:25PM ET,SF,12.66
2169371561,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Kirk Cousins (15033415) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Olabisi Johnson (15033935) (LOCKED),Allen Lazard (15033875) (LOCKED),Adam Thielen (15033811) (LOCKED),T.J. Hockenson (15034327) (LOCKED),Joe Mixon (15033495),Bills (15034593) (LOCKED),,WR,Emmanuel Sanders (15033843),Emmanuel Sanders,15033843,WR/FLEX,5700,TB@NO 09/13/2020 04:25PM ET,NO,10.57
2169371562,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Antonio Gibson (15033595) (LOCKED),Josh Jacobs (15033493) (LOCKED),Keenan Allen (15033819),Kendrick Bourne (15033869),Larry Fitzgerald (15033899),George Kittle (15034307),Alvin Kamara (15033487),Ravens (15034598) (LOCKED),,QB,Kirk Cousins (15033415) (LOCKED),Kirk Cousins,15033415,QB,5700,In Progress,MIN,16.99
2169371563,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Matthew Stafford (15033406) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Marvin Hall (15033949) (LOCKED),Marvin Jones Jr. (15033851) (LOCKED),Anthony Miller (15033867) (LOCKED),Hayden Hurst (15034325) (LOCKED),Alvin Kamara (15033487),Colts (15034599) (LOCKED),,RB,Jonathan Taylor (15033515) (LOCKED),Jonathan Taylor,15033515,RB/FLEX,5700,In Progress,IND,0
2169371564,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Aaron Rodgers (15033404) (LOCKED),Antonio Gibson (15033595) (LOCKED),Todd Gurley II (15033505) (LOCKED),Davante Adams (15033803) (LOCKED),Justin Jefferson (15033877) (LOCKED),Marquez Valdes-Scantling (15033933) (LOCKED),George Kittle (15034307),Austin Ekeler (15033489),Ravens (15034598) (LOCKED),,QB,Baker Mayfield (15033414) (LOCKED),Baker Mayfield,15033414,QB,5700,In Progress,CLE,16.32
2169371565,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Aaron Rodgers (15033404) (LOCKED),Austin Ekeler (15033489),Boston Scott (15033541) (LOCKED),Davante Adams (15033803) (LOCKED),Adam Thielen (15033811) (LOCKED),Marquez Valdes-Scantling (15033933) (LOCKED),T.J. Hockenson (15034327) (LOCKED),Kenyan Drake (15033499),Patriots (15034597) (LOCKED),,WR,A.J. Green (15033845),A.J. Green,15033845,WR/FLEX,5700,LAC@CIN 09/13/2020 04:05PM ET,CIN,0
2169371566,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Dalvin Cook (15033485) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Kendrick Bourne (15033869),Dante Pettis (15033983),Calvin Ridley (15033827) (LOCKED),Dan Arnold (15034351),Boston Scott (15033541) (LOCKED),Patriots (15034597) (LOCKED),,WR,Terry McLaurin (15033847) (LOCKED),Terry McLaurin,15033847,WR/FLEX,5600,In Progress,WAS,14.35
2169371567,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Kirk Cousins (15033415) (LOCKED),Todd Gurley II (15033505) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Davante Adams (15033803) (LOCKED),T.Y. Hilton (15033841) (LOCKED),Justin Jefferson (15033877) (LOCKED),Irv Smith Jr. (15034377) (LOCKED),Antonio Gibson (15033595) (LOCKED),Patriots (15034597) (LOCKED),,RB,Le'Veon Bell (15033517) (LOCKED),Le'Veon Bell,15033517,RB/FLEX,5600,In Progress,NYJ,14.4
2169371568,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Teddy Bridgewater (15033409) (LOCKED),Dalvin Cook (15033485) (LOCKED),Boston Scott (15033541) (LOCKED),Keenan Allen (15033819),Bryan Edwards (15033925) (LOCKED),DJ Moore (15033813) (LOCKED),Ian Thomas (15034361) (LOCKED),Alvin Kamara (15033487),49ers (15034595),,WR,John Brown (15033849) (LOCKED),John Brown,15033849,WR/FLEX,5600,In Progress,BUF,14.97
2169371569,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Teddy Bridgewater (15033409) (LOCKED),Dalvin Cook (15033485) (LOCKED),Boston Scott (15033541) (LOCKED),Robby Anderson (15033887) (LOCKED),DJ Moore (15033813) (LOCKED),Henry Ruggs III (15033863) (LOCKED),Hayden Hurst (15034325) (LOCKED),Austin Ekeler (15033489),Bills (15034593) (LOCKED),,QB,Tyrod Taylor (15033416),Tyrod Taylor,15033416,QB,5600,LAC@CIN 09/13/2020 04:05PM ET,LAC,0.75
2169371570,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Joe Burrow (15033411),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Marquise Brown (15033861) (LOCKED),A.J. Green (15033845),Auden Tate (15033961),Hunter Henry (15034317),Alvin Kamara (15033487),Falcons (15034609) (LOCKED),,WR,Marvin Jones Jr. (15033851) (LOCKED),Marvin Jones Jr.,15033851,WR/FLEX,5500,In Progress,DET,15.38
2169371571,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Kirk Cousins (15033415) (LOCKED),Chris Carson (15033503) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Justin Jefferson (15033877) (LOCKED),Terry McLaurin (15033847) (LOCKED),Marquez Valdes-Scantling (15033933) (LOCKED),Irv Smith Jr. (15034377) (LOCKED),Alvin Kamara (15033487),Bears (15034596) (LOCKED),,QB,Jameis Winston (15033418),Jameis Winston,15033418,QB,5500,TB@NO 09/13/2020 04:25PM ET,NO,23.34
2169371572,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Russell Wilson (15033398) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),DK Metcalf (15033839) (LOCKED),David Moore (15033991) (LOCKED),Calvin Ridley (15033827) (LOCKED),Irv Smith Jr. (15034377) (LOCKED),Kenyan Drake (15033499),Patriots (15034597) (LOCKED),,TE,Jared Cook (15034315),Jared Cook,15034315,TE/FLEX,5500,TB@NO 09/13/2020 04:25PM ET,NO,11.86
2169371573,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Joe Mixon (15033495),Boston Scott (15033541) (LOCKED),Brandon Aiyuk (15033901),Kendrick Bourne (15033869),DeAndre Hopkins (15033809),Mark Andrews (15034309) (LOCKED),Alvin Kamara (15033487),Patriots (15034597) (LOCKED),,RB,Mark Ingram II (15033519) (LOCKED),Mark Ingram II,15033519,RB/FLEX,5500,In Progress,BAL,16.29
2169371574,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Mitchell Trubisky (15033420) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),DK Metcalf (15033839) (LOCKED),Darnell Mooney (15034079) (LOCKED),Allen Robinson II (15033815) (LOCKED),T.J. Hockenson (15034327) (LOCKED),Joe Mixon (15033495),Eagles (15034594) (LOCKED),,QB,Sam Darnold (15033417) (LOCKED),Sam Darnold,15033417,QB,5500,In Progress,NYJ,16.24
2169371575,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Todd Gurley II (15033505) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Christian Kirk (15033865),Trent Taylor (15033957),Michael Thomas (15033799),Jordan Reed (15034387),Antonio Gibson (15033595) (LOCKED),Patriots (15034597) (LOCKED),,WR,Tyrell Williams (15033853) (LOCKED),Tyrell Williams,15033853,WR/FLEX,5500,In Progress,LV,10.44
2169371576,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Philip Rivers (15033408) (LOCKED),Dalvin Cook (15033485) (LOCKED),Austin Ekeler (15033489),Parris Campbell (15033959) (LOCKED),T.Y. Hilton (15033841) (LOCKED),Terry McLaurin (15033847) (LOCKED),Tyler Eifert (15034365) (LOCKED),Alvin Kamara (15033487),Bears (15034596) (LOCKED),,QB,Justin Herbert (15033419),Justin Herbert,15033419,QB,5500,LAC@CIN 09/13/2020 04:05PM ET,LAC,0
2169371577,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Derek Carr (15033410) (LOCKED),Dalvin Cook (15033485) (LOCKED),Boston Scott (15033541) (LOCKED),Robby Anderson (15033887) (LOCKED),Bryan Edwards (15033925) (LOCKED),Henry Ruggs III (15033863) (LOCKED),George Kittle (15034307),Alvin Kamara (15033487),Colts (15034599) (LOCKED),,QB,Mitchell Trubisky (15033420) (LOCKED),Mitchell Trubisky,15033420,QB,5400,In Progress,CHI,14.72
2169371578,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Aaron Rodgers (15033404) (LOCKED),Todd Gurley II (15033505) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Allen Lazard (15033875) (LOCKED),Adam Thielen (15033811) (LOCKED),Marquez Valdes-Scantling (15033933) (LOCKED),Zach Ertz (15034313) (LOCKED),Antonio Gibson (15033595) (LOCKED),Cardinals (15034614),,QB,Nick Foles (15033421) (LOCKED),Nick Foles,15033421,QB,5400,In Progress,CHI,10.44
2169371579,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Mitchell Trubisky (15033420) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Marquise Brown (15033861) (LOCKED),Marvin Jones Jr. (15033851) (LOCKED),Anthony Miller (15033867) (LOCKED),Jimmy Graham (15034335) (LOCKED),Joe Mixon (15033495),Bills (15034593) (LOCKED),,WR,Alshon Jeffery (15033855) (LOCKED),Alshon Jeffery,15033855,WR/FLEX,5400,In Progress,PHI,12.52
2169371580,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Baker Mayfield (15033414) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Odell Beckham Jr. (15033835) (LOCKED),Marquise Brown (15033861) (LOCKED),N'Keal Harry (15033907) (LOCKED),David Njoku (15034343) (LOCKED),Alvin Kamara (15033487),Bears (15034596) (LOCKED),,RB,Devin Singletary (15033521) (LOCKED),Devin Singletary,15033521,RB/FLEX,5400,In Progress,BUF,13.18
2169371581,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Gardner Minshew II (15033412) (LOCKED),Dalvin Cook (15033485) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Parris Campbell (15033959) (LOCKED),Chris Conley (15033945) (LOCKED),Laviska Shenault Jr. (15033909) (LOCKED),Mark Andrews (15034309) (LOCKED),Boston Scott (15033541) (LOCKED),Patriots (15034597) (LOCKED),,QB,Ryan Fitzpatrick (15033422) (LOCKED),Ryan Fitzpatrick,15033422,QB,5300,In Progress,MIA,17.90
2169371582,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Russell Wilson (15033398) (LOCKED),Josh Jacobs (15033493) (LOCKED),Boston Scott (15033541) (LOCKED),Marvin Jones Jr. (15033851) (LOCKED),Tyler Lockett (15033817) (LOCKED),DK Metcalf (15033839) (LOCKED),Hayden Hurst (15034325) (LOCKED),Alvin Kamara (15033487),Jets (15034613) (LOCKED),,RB,Marlon Mack (15033523) (LOCKED),Marlon Mack,15033523,RB/FLEX,5300,In Progress,IND,13.59
2169371583,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Russell Wilson (15033398) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),T.Y. Hilton (15033841) (LOCKED),David Moore (15033991) (LOCKED),Calvin Ridley (15033827) (LOCKED),Greg Olsen (15034331) (LOCKED),Austin Ekeler (15033489),Vikings (15034606) (LOCKED),,TE,Hunter Henry (15034317),Hunter Henry,15034317,TE/FLEX,5300,LAC@CIN 09/13/2020 04:05PM ET,LAC,12.85
2169371584,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Russell Wilson (15033398) (LOCKED),Antonio Gibson (15033595) (LOCKED),Josh Jacobs (15033493) (LOCKED),Keenan Allen (15033819),DK Metcalf (15033839) (LOCKED),Calvin Ridley (15033827) (LOCKED),Greg Olsen (15034331) (LOCKED),Alvin Kamara (15033487),Lions (15034602) (LOCKED),,WR,Deebo Samuel (15033857),Deebo Samuel,15033857,WR/FLEX,5300,ARI@SF 09/13/2020 04:25PM ET,SF,12.89
2169371585,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Teddy Bridgewater (15033409) (LOCKED),Dalvin Cook (15033485) (LOCKED),Antonio Gibson (15033595) (LOCKED),DJ Moore (15033813) (LOCKED),Hunter Renfrow (15033893) (LOCKED),Curtis Samuel (15033889) (LOCKED),Mark Andrews (15034309) (LOCKED),Alvin Kamara (15033487),Bears (15034596) (LOCKED),,QB,Tua Tagovailoa (15033423) (LOCKED),Tua Tagovailoa,15033423,QB,5200,In Progress,MIA,0
2169371586,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Dalvin Cook (15033485) (LOCKED),Josh Jacobs (15033493) (LOCKED),DeAndre Hopkins (15033809),Terry McLaurin (15033847) (LOCKED),Trent Taylor (15033957),Jordan Reed (15034387),Alvin Kamara (15033487),Chargers (15034601),,QB,Jarrett Stidham (15033424) (LOCKED),Jarrett Stidham,15033424,QB,5200,In Progress,NE,-0.21
2169371587,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Mitchell Trubisky (15033420) (LOCKED),Todd Gurley II (15033505) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Davante Adams (15033803) (LOCKED),Ted Ginn Jr. (15033975) (LOCKED),Anthony Miller (15033867) (LOCKED),T.J. Hockenson (15034327) (LOCKED),Boston Scott (15033541) (LOCKED),49ers (15034595),,RB,Ronald Jones II (15033525),Ronald Jones II,15033525,RB/FLEX,5200,TB@NO 09/13/2020 04:25PM ET,TB,10.71
2169371588,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Kirk Cousins (15033415) (LOCKED),Antonio Gibson (15033595) (LOCKED),Josh Jacobs (15033493) (LOCKED),Davante Adams (15033803) (LOCKED),Justin Jefferson (15033877) (LOCKED),Adam Thielen (15033811) (LOCKED),Hayden Hurst (15034325) (LOCKED),Austin Ekeler (15033489),Bears (15034596) (LOCKED),,WR,Jamison Crowder (15033859) (LOCKED),Jamison Crowder,15033859,WR/FLEX,5200,In Progress,NYJ,12.36
2169371589,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Gardner Minshew II (15033412) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),DJ Chark Jr. (15033823) (LOCKED),Chris Conley (15033945) (LOCKED),Marvin Jones Jr. (15033851) (LOCKED),Jack Doyle (15034347) (LOCKED),Kenyan Drake (15033499),Eagles (15034594) (LOCKED),,RB,Jordan Howard (15033529) (LOCKED),Jordan Howard,15033529,RB/FLEX,5100,In Progress,MIA,11.14
