Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2222899495,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541),Ezekiel Elliott (15355596),Derrick Henry (15355598),Parris Campbell (15355930),Jalen Reagor (15355956),Robert Woods (15355852),Tyler Higbee (15356194),Kenyan Drake (15355616),Colts (15356403),,1. Column A lists all of your contest entries for this draftgroup
2222899496,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Ezekiel Elliott (15355596),Derrick Henry (15355598),Mecole Hardman (15355976),T.Y. Hilton (15355876),Mike Williams (15355946),Hunter Henry (15356190),Kenyan Drake (15355616),Bills (15356387),,2. Your current lineup is listed next to each entry (blank for reservations)
2222899497,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Ezekiel Elliott (15355596),Aaron Jones (15355604),DJ Chark Jr. (15355866),Corey Davis (15355960),Mike Williams (15355946),Chris Herndon (15356226),Derrick Henry (15355598),Packers (15356393),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2222899498,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Dalvin Cook (15355600),Ezekiel Elliott (15355596),DJ Chark Jr. (15355866),Corey Davis (15355960),Diontae Johnson (15355932),Jonnu Smith (15356204),Kenyan Drake (15355616),Bears (15356389),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2222899499,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Ezekiel Elliott (15355596),Melvin Gordon III (15355634),Corey Davis (15355960),Allen Robinson II (15355850),Robert Woods (15355852),Tyler Eifert (15356248),Derrick Henry (15355598),Cardinals (15356396),,5. For faster processing only include entries you are changing in the file you upload
2222899500,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Aaron Rodgers (15355526),Ezekiel Elliott (15355596),Melvin Gordon III (15355634),Davante Adams (15355828),Marvin Jones Jr. (15355880),Marquez Valdes-Scantling (15355926),Chris Herndon (15356226),Kenyan Drake (15355616),Chargers (15356410),,
2222899501,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541),Ezekiel Elliott (15355596),Derrick Henry (15355598),DeSean Jackson (15355896),Van Jefferson Jr. (15356144),Diontae Johnson (15355932),Tyler Higbee (15356194),Aaron Jones (15355604),Bears (15356389),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2222899551,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Patrick Mahomes (15355525),Ezekiel Elliott (15355596),Derrick Henry (15355598),Mecole Hardman (15355976),Diontae Johnson (15355932),Demarcus Robinson (15356000),Hunter Henry (15356190),Aaron Jones (15355604),Panthers (15356407),,QB,Ryan Tannehill (15355538),Ryan Tannehill,15355538,QB,5900,JAX@TEN 09/20/2020 01:00PM ET,TEN,19.36
2222899552,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Dwayne Haskins Jr. (15355549),Ezekiel Elliott (15355596),Derrick Henry (15355598),Larry Fitzgerald (15355928),T.Y. Hilton (15355876),Terry McLaurin (15355874),Logan Thomas (15356218),Melvin Gordon III (15355634),Bears (15356389),,QB,Kirk Cousins (15355536),Kirk Cousins,15355536,QB,5900,MIN@IND 09/20/2020 01:00PM ET,MIN,22.76
2222899553,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Gardner Minshew II (15355540),Ezekiel Elliott (15355596),Aaron Jones (15355604),DJ Chark Jr. (15355866),Corey Davis (15355960),Allen Robinson II (15355850),Tyler Eifert (15356248),Kenyan Drake (15355616),Ravens (15356390),,QB,Philip Rivers (15355537),Philip Rivers,15355537,QB,5900,MIN@IND 09/20/2020 01:00PM ET,IND,19.82
2222899554,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541),Ezekiel Elliott (15355596),Aaron Jones (15355604),Cooper Kupp (15355842),Jalen Reagor (15355956),Robert Woods (15355852),Logan Thomas (15356218),Jonathan Taylor (15355620),Giants (15356404),,WR,DeVante Parker (15355872),DeVante Parker,15355872,WR/FLEX,5900,BUF@MIA 09/20/2020 01:00PM ET,MIA,8.7
2222899555,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Kirk Cousins (15355536),Ezekiel Elliott (15355596),Derrick Henry (15355598),Olabisi Johnson (15355966),Michael Pittman Jr. (15355998),Adam Thielen (15355836),Logan Thomas (15356218),Aaron Jones (15355604),Cowboys (15356399),,RB,Kenyan Drake (15355616),Kenyan Drake,15355616,RB/FLEX,5900,WAS@ARI 09/20/2020 04:05PM ET,ARI,14.5
2222899556,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Lamar Jackson (15355524),Ezekiel Elliott (15355596),Aaron Jones (15355604),Miles Boykin (15355952),Marquise Brown (15355862),Randall Cobb (15355936),Chris Herndon (15356226),Jonathan Taylor (15355620),Cowboys (15356399),,WR,Terry McLaurin (15355874),Terry McLaurin,15355874,WR/FLEX,5900,WAS@ARI 09/20/2020 04:05PM ET,WAS,11.1
2222899557,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Mitchell Trubisky (15355544),Ezekiel Elliott (15355596),Derrick Henry (15355598),Diontae Johnson (15355932),Allen Robinson II (15355850),Sterling Shepard (15355884),Jimmy Graham (15356212),Ronald Jones II (15355636),Cardinals (15356396),,QB,Daniel Jones (15355542),Daniel Jones,15355542,QB,5800,NYG@CHI 09/20/2020 01:00PM ET,NYG,19.36
2222899558,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tom Brady (15355530),Ezekiel Elliott (15355596),Derrick Henry (15355598),Mike Evans (15355848),T.Y. Hilton (15355876),Scotty Miller (15355958),Ian Thomas (15356236),Melvin Gordon III (15355634),Rams (15356398),,QB,Jared Goff (15355541),Jared Goff,15355541,QB,5800,LAR@PHI 09/20/2020 01:00PM ET,LAR,11.5
2222899559,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Ezekiel Elliott (15355596),Derrick Henry (15355598),Parris Campbell (15355930),Demarcus Robinson (15356000),Allen Robinson II (15355850),Hunter Henry (15356190),Austin Ekeler (15355608),Eagles (15356400),,QB,Gardner Minshew II (15355540),Gardner Minshew II,15355540,QB,5800,JAX@TEN 09/20/2020 01:00PM ET,JAX,20.82
2222899560,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tom Brady (15355530),Ezekiel Elliott (15355596),Melvin Gordon III (15355634),Corey Davis (15355960),Mike Evans (15355848),DJ Moore (15355856),Rob Gronkowski (15356206),Kenyan Drake (15355616),Chiefs (15356392),,QB,Teddy Bridgewater (15355539),Teddy Bridgewater,15355539,QB,5800,CAR@TB 09/20/2020 01:00PM ET,CAR,19.36
2222899561,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Matthew Stafford (15355533),Kenyan Drake (15355616),Ezekiel Elliott (15355596),Davante Adams (15355828),Quintez Cephus (15355974),Diontae Johnson (15355932),T.J. Hockenson (15356188),David Johnson (15355618),Jaguars (15356405),,RB,David Johnson (15355618),David Johnson,15355618,RB/FLEX,5800,BAL@HOU 09/20/2020 04:25PM ET,HOU,19.9
2222899562,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Aaron Rodgers (15355526),Ezekiel Elliott (15355596),David Johnson (15355618),Davante Adams (15355828),Parris Campbell (15355930),Corey Davis (15355960),T.J. Hockenson (15356188),Marquez Valdes-Scantling (15355926),Broncos (15356402),,WR,Marvin Jones Jr. (15355880),Marvin Jones Jr.,15355880,WR/FLEX,5700,DET@GB 09/20/2020 01:00PM ET,DET,9.5
2222899563,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Philip Rivers (15355537),Ezekiel Elliott (15355596),Melvin Gordon III (15355634),T.Y. Hilton (15355876),Adam Thielen (15355836),Robert Woods (15355852),Chris Herndon (15356226),Jonathan Taylor (15355620),Jaguars (15356405),,QB,Jimmy Garoppolo (15355543),Jimmy Garoppolo,15355543,QB,5700,SF@NYJ 09/20/2020 01:00PM ET,SF,19.26
2222899564,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Lamar Jackson (15355524),Ezekiel Elliott (15355596),Aaron Jones (15355604),Marquise Brown (15355862),Parris Campbell (15355930),Corey Davis (15355960),Jordan Akins (15356230),J.K. Dobbins (15355640),Chiefs (15356392),,RB,Malcolm Brown (15355622),Malcolm Brown,15355622,RB/FLEX,5700,LAR@PHI 09/20/2020 01:00PM ET,LAR,26
2222899565,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Dwayne Haskins Jr. (15355549),Ezekiel Elliott (15355596),Aaron Jones (15355604),DeAndre Hopkins (15355830),Diontae Johnson (15355932),Terry McLaurin (15355874),Logan Thomas (15356218),David Johnson (15355618),Dolphins (15356409),,RB,Jonathan Taylor (15355620),Jonathan Taylor,15355620,RB/FLEX,5700,MIN@IND 09/20/2020 01:00PM ET,IND,14.9
2222899566,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Mitchell Trubisky (15355544),Ezekiel Elliott (15355596),Aaron Jones (15355604),Anthony Miller (15355894),Allen Robinson II (15355850),Darius Slayton (15355900),Chris Herndon (15356226),Jonathan Taylor (15355620),Titans (15356391),,WR,T.Y. Hilton (15355876),T.Y. Hilton,15355876,WR/FLEX,5700,MIN@IND 09/20/2020 01:00PM ET,IND,9.3
2222899567,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Patrick Mahomes (15355525),Ezekiel Elliott (15355596),Jonathan Taylor (15355620),Tyreek Hill (15355832),Sammy Watkins (15355910),Mike Williams (15355946),Chris Herndon (15356226),David Johnson (15355618),Cowboys (15356399),,WR,Keenan Allen (15355878),Keenan Allen,15355878,WR/FLEX,5700,KC@LAC 09/20/2020 04:25PM ET,LAC,7.7
2222899568,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Dak Prescott (15355527),Melvin Gordon III (15355634),Aaron Jones (15355604),Michael Gallup (15355882),Julio Jones (15355834),CeeDee Lamb (15355924),Chris Herndon (15356226),Kenyan Drake (15355616),Bills (15356387),,RB,David Montgomery (15355624),David Montgomery,15355624,RB/FLEX,5600,NYG@CHI 09/20/2020 01:00PM ET,CHI,8.4
2222899569,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Philip Rivers (15355537),Ezekiel Elliott (15355596),Jonathan Taylor (15355620),DJ Chark Jr. (15355866),T.Y. Hilton (15355876),Allen Robinson II (15355850),Irv Smith Jr. (15356252),Kenyan Drake (15355616),Packers (15356393),,TE,Zach Ertz (15356184),Zach Ertz,15356184,TE/FLEX,5600,LAR@PHI 09/20/2020 01:00PM ET,PHI,10.8
2222899570,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Kenyan Drake (15355616),Ezekiel Elliott (15355596),Keenan Allen (15355878),Mecole Hardman (15355976),Diontae Johnson (15355932),Mark Andrews (15356182),Austin Ekeler (15355608),Steelers (15356388),,WR,Michael Gallup (15355882),Michael Gallup,15355882,WR/FLEX,5600,ATL@DAL 09/20/2020 01:00PM ET,DAL,8
2222899571,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Kirk Cousins (15355536),Ezekiel Elliott (15355596),Aaron Jones (15355604),Corey Davis (15355960),T.Y. Hilton (15355876),Adam Thielen (15355836),Kyle Rudolph (15356222),Melvin Gordon III (15355634),Cardinals (15356396),,QB,Mitchell Trubisky (15355544),Mitchell Trubisky,15355544,QB,5500,NYG@CHI 09/20/2020 01:00PM ET,CHI,24.28
2222899572,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Derrick Henry (15355598),Aaron Jones (15355604),Corey Davis (15355960),Julio Jones (15355834),Laviska Shenault Jr. (15355948),Tyler Higbee (15356194),Kenyan Drake (15355616),Buccaneers (15356397),,WR,Sterling Shepard (15355884),Sterling Shepard,15355884,WR/FLEX,5500,NYG@CHI 09/20/2020 01:00PM ET,NYG,10.7
2222899573,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Dak Prescott (15355527),Derrick Henry (15355598),Aaron Jones (15355604),Parris Campbell (15355930),Michael Gallup (15355882),CeeDee Lamb (15355924),Hayden Hurst (15356196),David Johnson (15355618),Cardinals (15356396),,WR,Jamison Crowder (15355886),Jamison Crowder,15355886,WR/FLEX,5400,SF@NYJ 09/20/2020 01:00PM ET,NYJ,27.5
2222899574,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Aaron Rodgers (15355526),Todd Gurley II (15355612),Derrick Henry (15355598),Davante Adams (15355828),Quintez Cephus (15355974),Allen Lazard (15355890),Chris Herndon (15356226),Kenyan Drake (15355616),Eagles (15356400),,WR,Alshon Jeffery (15355888),Alshon Jeffery,15355888,WR/FLEX,5400,LAR@PHI 09/20/2020 01:00PM ET,PHI,0
2222899575,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Philip Rivers (15355537),Todd Gurley II (15355612),Derrick Henry (15355598),Parris Campbell (15355930),T.Y. Hilton (15355876),Adam Thielen (15355836),Chris Herndon (15356226),Kenyan Drake (15355616),Packers (15356393),,QB,Drew Lock (15355545),Drew Lock,15355545,QB,5400,DEN@PIT 09/20/2020 01:00PM ET,DEN,13.14
2222899576,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Todd Gurley II (15355612),Derrick Henry (15355598),Parris Campbell (15355930),DJ Chark Jr. (15355866),Corey Davis (15355960),Zach Ertz (15356184),Kenyan Drake (15355616),Bills (15356387),,RB,Mark Ingram II (15355626),Mark Ingram II,15355626,RB/FLEX,5400,BAL@HOU 09/20/2020 04:25PM ET,BAL,2.9
2222899577,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Todd Gurley II (15355612),Derrick Henry (15355598),Keenan Allen (15355878),Mecole Hardman (15355976),Robert Woods (15355852),Hunter Henry (15356190),Jonathan Taylor (15355620),49ers (15356386),,WR,Allen Lazard (15355890),Allen Lazard,15355890,WR/FLEX,5300,DET@GB 09/20/2020 01:00PM ET,GB,18.2
2222899578,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Dak Prescott (15355527),Aaron Jones (15355604),Ronald Jones II (15355636),Amari Cooper (15355854),Michael Gallup (15355882),Diontae Johnson (15355932),Hayden Hurst (15356196),Kenyan Drake (15355616),49ers (15356386),,TE,Evan Engram (15356186),Evan Engram,15356186,TE/FLEX,5300,NYG@CHI 09/20/2020 01:00PM ET,NYG,2.9
2222899579,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Aaron Rodgers (15355526),Derrick Henry (15355598),Kerryon Johnson (15355818),Davante Adams (15355828),Parris Campbell (15355930),Marquez Valdes-Scantling (15355926),Hayden Hurst (15356196),Kenyan Drake (15355616),Titans (15356391),,RB,Nyheim Hines (15355628),Nyheim Hines,15355628,RB/FLEX,5300,MIN@IND 09/20/2020 01:00PM ET,IND,27.3
2222899580,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541),Melvin Gordon III (15355634),Derrick Henry (15355598),Cooper Kupp (15355842),CeeDee Lamb (15355924),Robert Woods (15355852),Dallas Goedert (15356192),Kenyan Drake (15355616),Giants (15356404),,QB,Tyrod Taylor (15355546),Tyrod Taylor,15355546,QB,5300,KC@LAC 09/20/2020 04:25PM ET,LAC,9.02
2222899581,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541),Todd Gurley II (15355612),Derrick Henry (15355598),T.Y. Hilton (15355876),Diontae Johnson (15355932),Robert Woods (15355852),Tyler Higbee (15356194),Miles Sanders (15355614),Buccaneers (15356397),,TE,T.J. Hockenson (15356188),T.J. Hockenson,15356188,TE/FLEX,5200,DET@GB 09/20/2020 01:00PM ET,DET,16.6
2222899582,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Derrick Henry (15355598),Aaron Jones (15355604),Allen Robinson II (15355850),Sammy Watkins (15355910),Mike Williams (15355946),Hunter Henry (15356190),Todd Gurley II (15355612),Cardinals (15356396),,RB,Le'Veon Bell (15355632),Le'Veon Bell,15355632,RB/FLEX,5200,SF@NYJ 09/20/2020 01:00PM ET,NYJ,6.6
2222899583,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Lamar Jackson (15355524),Todd Gurley II (15355612),Derrick Henry (15355598),Marquise Brown (15355862),Parris Campbell (15355930),Diontae Johnson (15355932),Jordan Akins (15356230),Mark Andrews (15356182),Cardinals (15356396),,WR,Anthony Miller (15355894),Anthony Miller,15355894,WR/FLEX,5200,NYG@CHI 09/20/2020 01:00PM ET,CHI,17.6
2222899584,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Todd Gurley II (15355612),Derrick Henry (15355598),Parris Campbell (15355930),Diontae Johnson (15355932),Mike Williams (15355946),Travis Kelce (15356178),Austin Ekeler (15355608),49ers (15356386),,RB,Ronald Jones II (15355636),Ronald Jones II,15355636,RB/FLEX,5200,CAR@TB 09/20/2020 01:00PM ET,TB,10.2
2222899585,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Carson Wentz (15355535),Derrick Henry (15355598),Miles Sanders (15355614),Amari Cooper (15355854),DeSean Jackson (15355896),Diontae Johnson (15355932),Tyler Higbee (15356194),Kenyan Drake (15355616),Titans (15356391),,WR,Robby Anderson (15355892),Robby Anderson,15355892,WR/FLEX,5200,CAR@TB 09/20/2020 01:00PM ET,CAR,28.4
2222899586,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Patrick Mahomes (15355525),Todd Gurley II (15355612),Derrick Henry (15355598),Tyreek Hill (15355832),Demarcus Robinson (15356000),Mike Williams (15355946),Chris Herndon (15356226),Kenyan Drake (15355616),Steelers (15356388),,RB,Melvin Gordon III (15355634),Melvin Gordon III,15355634,RB/FLEX,5200,DEN@PIT 09/20/2020 01:00PM ET,DEN,16.6
2222899587,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Matthew Stafford (15355533),Kenyan Drake (15355616),Derrick Henry (15355598),Davante Adams (15355828),Danny Amendola (15355914),Marvin Jones Jr. (15355880),Chris Herndon (15356226),David Johnson (15355618),Panthers (15356407),,QB,Ryan Fitzpatrick (15355547),Ryan Fitzpatrick,15355547,QB,5200,BUF@MIA 09/20/2020 01:00PM ET,MIA,8.44
2222899588,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Derrick Henry (15355598),Aaron Jones (15355604),Keenan Allen (15355878),Michael Gallup (15355882),Demarcus Robinson (15356000),Hunter Henry (15356190),Kenyan Drake (15355616),Steelers (15356388),,QB,Tua Tagovailoa (15355548),Tua Tagovailoa,15355548,QB,5200,BUF@MIA 09/20/2020 01:00PM ET,MIA,0
2222899589,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Aaron Rodgers (15355526),Todd Gurley II (15355612),Derrick Henry (15355598),Davante Adams (15355828),Danny Amendola (15355914),Marquez Valdes-Scantling (15355926),Logan Thomas (15356218),Melvin Gordon III (15355634),Rams (15356398),,RB,Devin Singletary (15355630),Devin Singletary,15355630,RB/FLEX,5200,BUF@MIA 09/20/2020 01:00PM ET,BUF,10.3
2222899590,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Kenyan Drake (15355616),Derrick Henry (15355598),Tyreek Hill (15355832),Diontae Johnson (15355932),CeeDee Lamb (15355924),Hunter Henry (15356190),Austin Ekeler (15355608),Colts (15356403),,QB,Sam Darnold (15355550),Sam Darnold,15355550,QB,5100,SF@NYJ 09/20/2020 01:00PM ET,NYJ,12.2
2222899591,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541),Derrick Henry (15355598),Aaron Jones (15355604),CeeDee Lamb (15355924),Greg Ward (15355950),Robert Woods (15355852),Tyler Higbee (15356194),Jonathan Taylor (15355620),Titans (15356391),,WR,DeSean Jackson (15355896),DeSean Jackson,15355896,WR/FLEX,5100,LAR@PHI 09/20/2020 01:00PM ET,PHI,6.6
2222899592,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Mitchell Trubisky (15355544),Todd Gurley II (15355612),Derrick Henry (15355598),Diontae Johnson (15355932),Anthony Miller (15355894),Allen Robinson II (15355850),Evan Engram (15356186),Kenyan Drake (15355616),Vikings (15356394),,RB,Phillip Lindsay (15355638),Phillip Lindsay,15355638,RB/FLEX,5100,DEN@PIT 09/20/2020 01:00PM ET,DEN,4.5
2222899593,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Lamar Jackson (15355524),Melvin Gordon III (15355634),Derrick Henry (15355598),Miles Boykin (15355952),Brandin Cooks (15355902),CeeDee Lamb (15355924),Mark Andrews (15356182),Kenyan Drake (15355616),Rams (15356398),,QB,Dwayne Haskins Jr. (15355549),Dwayne Haskins Jr.,15355549,QB,5100,WAS@ARI 09/20/2020 04:05PM ET,WAS,12.82
2222899594,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Carson Wentz (15355535),Todd Gurley II (15355612),Derrick Henry (15355598),DeSean Jackson (15355896),Diontae Johnson (15355932),Robert Woods (15355852),Zach Ertz (15356184),Ronald Jones II (15355636),Vikings (15356394),,QB,Justin Herbert (15355551),Justin Herbert,15355551,QB,5100,KC@LAC 09/20/2020 04:25PM ET,LAC,0
2222899595,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Carson Wentz (15355535),Todd Gurley II (15355612),Derrick Henry (15355598),Diontae Johnson (15355932),Cooper Kupp (15355842),Jalen Reagor (15355956),Dallas Goedert (15356192),Kenyan Drake (15355616),Steelers (15356388),,TE,Hunter Henry (15356190),Hunter Henry,15356190,TE/FLEX,5100,KC@LAC 09/20/2020 04:25PM ET,LAC,12.3
2222899596,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Kirk Cousins (15355536),Derrick Henry (15355598),Aaron Jones (15355604),Parris Campbell (15355930),Adam Thielen (15355836),Robert Woods (15355852),Irv Smith Jr. (15356252),Todd Gurley II (15355612),Jets (15356411),,RB,J.K. Dobbins (15355640),J.K. Dobbins,15355640,RB/FLEX,5100,BAL@HOU 09/20/2020 04:25PM ET,BAL,14.2
2222899597,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Matthew Stafford (15355533),Todd Gurley II (15355612),Derrick Henry (15355598),Davante Adams (15355828),Diontae Johnson (15355932),Marvin Jones Jr. (15355880),T.J. Hockenson (15356188),Antonio Gibson (15355686),Jets (15356411),,QB,Chase Daniel (15355554),Chase Daniel,15355554,QB,5000,DET@GB 09/20/2020 01:00PM ET,DET,0
2222899598,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Lamar Jackson (15355524),Todd Gurley II (15355612),Derrick Henry (15355598),Miles Boykin (15355952),Marquise Brown (15355862),Will Fuller V (15355858),Chris Herndon (15356226),Melvin Gordon III (15355634),Eagles (15356400),,WR,Deebo Samuel (15355898),Deebo Samuel,15355898,WR/FLEX,5000,SF@NYJ 09/20/2020 01:00PM ET,SF,0
2222899599,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Dak Prescott (15355527),Derrick Henry (15355598),Aaron Jones (15355604),Amari Cooper (15355854),Russell Gage (15355912),Michael Gallup (15355882),Chris Herndon (15356226),Miles Sanders (15355614),Dolphins (15356409),,QB,Nick Foles (15355553),Nick Foles,15355553,QB,5000,NYG@CHI 09/20/2020 01:00PM ET,CHI,0
2222899600,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541),Cam Akers (15355668),Derrick Henry (15355598),Michael Gallup (15355882),Diontae Johnson (15355932),Robert Woods (15355852),Zach Ertz (15356184),Kenyan Drake (15355616),Steelers (15356388),,WR,Darius Slayton (15355900),Darius Slayton,15355900,WR/FLEX,5000,NYG@CHI 09/20/2020 01:00PM ET,NYG,31.2
2222899601,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Dalvin Cook (15355600),Derrick Henry (15355598),Keenan Allen (15355878),Sammy Watkins (15355910),Mike Williams (15355946),Hayden Hurst (15356196),Kenyan Drake (15355616),49ers (15356386),,RB,Boston Scott (15355644),Boston Scott,15355644,RB/FLEX,5000,LAR@PHI 09/20/2020 01:00PM ET,PHI,7.4
2222899602,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541),Todd Gurley II (15355612),Derrick Henry (15355598),Cooper Kupp (15355842),Breshad Perriman (15355972),Robert Woods (15355852),Zach Ertz (15356184),Jonathan Taylor (15355620),Jets (15356411),,TE,Dallas Goedert (15356192),Dallas Goedert,15356192,TE/FLEX,5000,LAR@PHI 09/20/2020 01:00PM ET,PHI,27.1
2222899603,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541),Derrick Henry (15355598),Jonathan Taylor (15355620),Diontae Johnson (15355932),Cooper Kupp (15355842),Jalen Reagor (15355956),Tyler Higbee (15356194),Austin Ekeler (15355608),49ers (15356386),,QB,Andy Dalton (15355552),Andy Dalton,15355552,QB,5000,ATL@DAL 09/20/2020 01:00PM ET,DAL,0
2222899604,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Derrick Henry (15355598),James Robinson (15355680),Diontae Johnson (15355932),Calvin Ridley (15355840),Robert Woods (15355852),Jonnu Smith (15356204),Kenyan Drake (15355616),49ers (15356386),,QB,Jacoby Brissett (15355555),Jacoby Brissett,15355555,QB,5000,MIN@IND 09/20/2020 01:00PM ET,IND,0
2222899605,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Kirk Cousins (15355536),Todd Gurley II (15355612),Derrick Henry (15355598),T.Y. Hilton (15355876),Justin Jefferson (15355934),Adam Thielen (15355836),Logan Thomas (15356218),Melvin Gordon III (15355634),49ers (15356386),,RB,Marlon Mack (15355642),Marlon Mack,15355642,RB/FLEX,5000,MIN@IND 09/20/2020 01:00PM ET,IND,8.6
